sku,description,category,unit_cost,on_hand_qty,reorder_point,last_received_date
SKU-000049,Pharma item 49,Pharma,9.9,116,97,2025-10-04
SKU-000050,PPE item 50,Pharma,10.97,199,19,2025-10-16
SKU-000051,Supply item 51,Device,9.85,91,19,2025-10-15
SKU-000052,Device item 52,Pharma,25.02,3,38,2025-08-12
SKU-000053,PPE item 53,Supply,7.73,284,31,2025-12-22
SKU-000054,Device item 54,Supply,34.99,489,34,2025-01-14
SKU-000055,Pharma item 55,PPE,87.97,301,70,2025-02-23
SKU-000056,PPE item 56,Pharma,38.39,299,33,2025-08-11
SKU-000057,Supply item 57,PPE,51.44,436,56,2025-06-01
SKU-000058,Device item 58,Supply,64.35,278,98,2025-08-10
SKU-000059,Device item 59,PPE,5.01,323,60,2025-10-21
SKU-000060,PPE item 60,PPE,4.08,148,49,2025-01-31
SKU-000061,PPE item 61,PPE,11.46,100,56,2025-06-06
SKU-000062,Pharma item 62,PPE,16.0,305,89,2025-02-14
SKU-000063,Supply item 63,PPE,27.91,389,80,2025-09-06
SKU-000064,Supply item 64,Device,10.19,311,69,2025-09-29
SKU-000065,Supply item 65,Supply,37.54,360,14,2025-12-11
SKU-000066,Pharma item 66,Pharma,42.59,322,37,2025-02-25
SKU-000067,Supply item 67,Pharma,12.89,36,74,2025-08-20
SKU-000068,PPE item 68,Device,32.14,176,39,2025-04-12
SKU-000069,Pharma item 69,Pharma,44.0,207,32,2025-12-30
SKU-000070,Pharma item 70,Supply,8.16,78,48,2025-01-07
SKU-000071,Supply item 71,Device,9.09,404,72,2025-04-14
SKU-000072,Supply item 72,Pharma,18.04,218,65,2025-03-26
SKU-000073,Pharma item 73,Device,7.06,403,66,2025-09-19
SKU-000074,Supply item 74,Device,14.33,63,73,2025-12-14
SKU-000075,PPE item 75,Supply,95.06,430,29,2025-01-26
SKU-000076,Device item 76,Supply,69.71,350,93,2025-09-21
SKU-000077,Device item 77,Supply,5.14,466,59,2025-06-11
SKU-000078,Device item 78,PPE,10.58,487,79,2025-12-10
SKU-000079,Supply item 79,Supply,67.27,384,65,2025-01-14
SKU-000080,Pharma item 80,Pharma,6.28,246,48,2025-02-17
SKU-000081,Pharma item 81,Supply,8.86,97,39,2025-10-23
SKU-000082,Device item 82,Pharma,59.03,461,48,2025-04-02
SKU-000083,Supply item 83,PPE,12.58,147,20,2025-06-25
SKU-000084,Supply item 84,Pharma,75.09,12,36,2025-07-20
SKU-000085,PPE item 85,Device,32.29,266,51,2025-05-04
SKU-000086,Device item 86,Supply,93.41,333,30,2025-01-10
SKU-000087,PPE item 87,Device,19.36,304,17,2025-07-17
SKU-000088,PPE item 88,Supply,57.94,40,54,2025-05-22
SKU-000089,PPE item 89,PPE,126.06,19,71,2025-10-19
SKU-000090,Pharma item 90,Device,6.18,108,88,2025-11-06
SKU-000091,Supply item 91,Device,45.34,311,45,2025-02-15
SKU-000092,Device item 92,PPE,27.06,31,56,2025-01-21
SKU-000093,PPE item 93,PPE,7.55,67,53,2025-02-24
SKU-000094,PPE item 94,Pharma,17.51,479,46,2025-07-22
SKU-000095,Device item 95,Pharma,39.48,252,25,2025-04-19
SKU-000096,Supply item 96,Supply,11.26,63,10,2025-02-05
SKU-000097,Supply item 97,PPE,147.58,1,13,2025-04-02
SKU-000098,Supply item 98,PPE,21.8,482,22,2025-09-06
SKU-000099,Device item 99,Supply,32.82,367,47,2025-11-09
SKU-000100,Device item 100,Supply,3.32,402,37,2025-06-13
SKU-000101,Supply item 101,Device,55.47,357,93,2025-07-01
SKU-000102,PPE item 102,PPE,10.4,410,31,2025-07-24
SKU-000103,Supply item 103,PPE,14.27,148,61,2025-06-21
SKU-000104,PPE item 104,Pharma,4.14,344,74,2025-07-03
SKU-000105,Pharma item 105,Pharma,100.33,454,59,2025-08-02
SKU-000106,Pharma item 106,PPE,12.7,74,80,2025-12-02
SKU-000107,PPE item 107,Device,24.78,450,23,2025-07-28
SKU-000108,PPE item 108,Supply,28.2,234,99,2025-04-10
SKU-000109,PPE item 109,Pharma,14.86,85,95,2025-08-18
SKU-000110,Pharma item 110,PPE,11.58,47,20,2025-09-28
SKU-000111,PPE item 111,Supply,40.67,194,44,2025-11-22
SKU-000112,PPE item 112,Supply,29.45,247,81,2025-01-03
SKU-000113,Device item 113,Device,15.57,132,76,2025-11-30
SKU-000114,PPE item 114,PPE,56.1,122,67,2025-02-06
SKU-000115,Device item 115,Supply,26.56,272,54,2025-03-13
SKU-000116,Pharma item 116,Pharma,7.85,377,62,2025-08-16
SKU-000117,Supply item 117,Pharma,21.52,69,18,2025-05-27
SKU-000118,Device item 118,Pharma,8.91,70,56,2025-05-10
SKU-000119,Supply item 119,Device,43.84,422,47,2025-01-24
SKU-000120,PPE item 120,Pharma,67.92,32,97,2025-04-15
