pos_txn_id,store_id,txn_date,tender,gross_amount,tax_amount,discount_amount
POS-00000053,ST-006,2025-04-17,GIFT_CARD,40.26,2.82,0.0
POS-00000054,ST-004,2025-10-30,CREDIT,36.31,2.54,0.0
POS-00000055,ST-007,2025-12-23,CREDIT,12.76,0.89,0.0
POS-00000056,ST-001,2025-07-11,CREDIT,26.35,1.84,0.0
POS-00000057,ST-003,2025-11-18,GIFT_CARD,14.3,1.0,0.0
POS-00000058,ST-003,2025-11-22,CASH,84.86,5.94,0.0
POS-00000059,ST-003,2025-07-27,GIFT_CARD,64.85,4.54,0.0
POS-00000060,ST-008,2025-02-26,CASH,16.71,1.17,0.0
POS-00000061,ST-007,2025-05-25,GIFT_CARD,20.2,1.41,0.0
POS-00000062,ST-005,2025-10-13,GIFT_CARD,45.38,3.18,0.0
POS-00000063,ST-003,2025-10-11,GIFT_CARD,5.91,0.41,0.0
POS-00000064,ST-001,2025-10-26,GIFT_CARD,58.23,4.08,0.0
POS-00000065,ST-002,2025-12-01,CASH,17.75,1.24,0.0
POS-00000066,ST-003,2025-07-06,CASH,74.88,5.24,0.0
POS-00000067,ST-008,2025-03-04,DEBIT,52.2,3.65,0.0
POS-00000068,ST-008,2025-09-16,DEBIT,100.0,7.0,0.0
POS-00000069,ST-002,2025-09-28,DEBIT,21.12,1.48,0.0
POS-00000070,ST-005,2025-07-25,DEBIT,43.89,3.07,0.0
POS-00000071,ST-001,2025-08-03,CREDIT,90.63,6.34,0.0
POS-00000072,ST-008,2025-05-08,DEBIT,65.39,4.58,0.0
POS-00000073,ST-001,2025-02-10,CREDIT,44.43,3.11,0.0
POS-00000074,ST-001,2025-06-09,CASH,14.06,0.98,0.0
POS-00000075,ST-003,2025-05-06,CASH,34.19,2.39,0.0
POS-00000076,ST-006,2025-08-29,DEBIT,35.68,2.5,0.0
POS-00000077,ST-002,2025-09-20,CREDIT,56.63,3.96,0.0
POS-00000078,ST-008,2025-04-30,DEBIT,41.12,2.88,0.0
POS-00000079,ST-001,2025-09-02,CREDIT,32.26,2.26,0.0
POS-00000080,ST-005,2025-04-17,DEBIT,70.33,4.92,0.0
POS-00000081,ST-005,2025-10-12,CREDIT,72.04,5.04,0.0
POS-00000082,ST-004,2025-04-18,GIFT_CARD,21.45,1.5,0.0
POS-00000083,ST-002,2025-01-25,DEBIT,51.33,3.59,0.0
POS-00000084,ST-008,2025-07-17,GIFT_CARD,19.94,1.4,0.0
POS-00000085,ST-003,2025-02-17,DEBIT,45.17,3.16,0.0
POS-00000086,ST-007,2025-01-26,CREDIT,25.03,1.75,0.0
POS-00000087,ST-004,2025-01-28,DEBIT,38.64,2.7,0.0
POS-00000088,ST-004,2025-12-10,GIFT_CARD,17.63,1.23,0.0
POS-00000089,ST-002,2025-08-04,GIFT_CARD,116.11,8.13,0.0
POS-00000090,ST-002,2025-07-04,DEBIT,64.94,4.55,0.0
POS-00000091,ST-005,2025-05-25,DEBIT,23.43,1.64,0.0
POS-00000092,ST-006,2025-03-06,CREDIT,15.44,1.08,0.0
POS-00000093,ST-004,2025-06-20,DEBIT,7.0,0.49,0.0
POS-00000094,ST-005,2025-06-12,CASH,23.04,1.61,0.0
POS-00000095,ST-001,2025-02-26,CREDIT,70.68,4.95,0.0
POS-00000096,ST-005,2025-03-01,CREDIT,11.59,0.81,0.0
POS-00000097,ST-006,2025-04-21,GIFT_CARD,56.21,3.93,0.0
POS-00000098,ST-007,2025-06-10,GIFT_CARD,33.19,2.32,0.0
POS-00000099,ST-002,2025-01-20,GIFT_CARD,24.65,1.73,0.0
POS-00000100,ST-003,2025-11-09,GIFT_CARD,32.03,2.24,0.0
POS-00000101,ST-007,2025-08-09,GIFT_CARD,34.73,2.43,0.0
POS-00000102,ST-005,2025-09-28,CASH,34.87,2.44,0.0
POS-00000103,ST-002,2025-12-12,CASH,44.64,3.12,0.0
POS-00000104,ST-005,2025-07-30,CASH,18.55,1.3,0.0
POS-00000105,ST-005,2025-10-04,CREDIT,147.48,10.32,0.0
POS-00000106,ST-007,2025-09-10,CASH,75.26,5.27,0.0
POS-00000107,ST-002,2025-05-16,CASH,113.52,7.95,0.0
POS-00000108,ST-006,2025-04-21,CREDIT,78.88,5.52,0.0
POS-00000109,ST-007,2025-07-07,DEBIT,40.19,2.81,0.0
POS-00000110,ST-002,2025-07-22,GIFT_CARD,53.59,3.75,0.0
POS-00000111,ST-004,2025-03-31,GIFT_CARD,47.1,3.3,0.0
POS-00000112,ST-002,2025-08-27,DEBIT,7.21,0.5,0.0
POS-00000113,ST-004,2025-09-29,CREDIT,31.68,2.22,0.0
POS-00000114,ST-008,2025-02-11,CREDIT,17.93,1.26,0.0
POS-00000115,ST-007,2025-12-18,CASH,27.6,1.93,0.0
POS-00000116,ST-005,2025-06-15,CREDIT,55.27,3.87,0.0
POS-00000117,ST-004,2025-08-24,DEBIT,67.05,4.69,0.0
POS-00000118,ST-007,2025-06-21,CREDIT,58.16,4.07,0.0
POS-00000119,ST-006,2025-12-25,CASH,161.08,11.28,0.0
POS-00000120,ST-007,2025-03-02,GIFT_CARD,18.25,1.28,0.0
POS-00000121,ST-002,2025-03-07,CREDIT,68.2,4.77,0.0
POS-00000122,ST-003,2025-02-27,GIFT_CARD,8.34,0.58,0.0
POS-00000123,ST-002,2025-03-18,GIFT_CARD,107.55,7.53,0.0
POS-00000124,ST-003,2025-05-05,CREDIT,656.6,45.96,0.0
POS-00000125,ST-007,2025-06-02,CASH,46.26,3.24,0.0
POS-00000126,ST-003,2025-08-29,CREDIT,22.8,1.6,0.0
POS-00000127,ST-005,2025-07-17,DEBIT,66.26,4.64,0.0
POS-00000128,ST-007,2025-02-11,GIFT_CARD,10.12,0.71,0.0
POS-00000129,ST-003,2025-07-31,GIFT_CARD,31.14,2.18,0.0
POS-00000130,ST-007,2025-03-19,GIFT_CARD,17.52,1.23,0.0
POS-00000131,ST-001,2025-03-22,CASH,44.76,3.13,0.0
POS-00000132,ST-004,2025-05-02,CASH,48.17,3.37,0.0
POS-00000133,ST-005,2025-08-22,GIFT_CARD,79.92,5.59,0.0
POS-00000134,ST-005,2025-12-28,CASH,15.25,1.07,0.0
POS-00000135,ST-006,2025-05-23,CASH,21.01,1.47,0.0
POS-00000136,ST-007,2025-05-15,GIFT_CARD,16.05,1.12,0.0
POS-00000137,ST-007,2025-02-01,CASH,17.75,1.24,0.0
POS-00000138,ST-003,2025-05-06,GIFT_CARD,23.14,1.62,0.0
POS-00000139,ST-008,2025-04-06,CASH,79.06,5.53,0.0
POS-00000140,ST-003,2025-02-25,DEBIT,9.31,0.65,0.0
POS-00000141,ST-008,2025-06-11,GIFT_CARD,34.66,2.43,0.0
POS-00000142,ST-007,2025-02-06,CREDIT,14.08,0.99,0.0
POS-00000143,ST-004,2025-03-26,CASH,21.16,1.48,0.0
POS-00000144,ST-005,2025-10-25,GIFT_CARD,6.43,0.45,0.0
POS-00000145,ST-005,2025-11-04,CASH,166.3,11.64,0.0
POS-00000146,ST-004,2025-09-08,GIFT_CARD,94.62,6.62,0.0
POS-00000147,ST-001,2025-05-29,CREDIT,161.94,11.34,0.0
POS-00000148,ST-006,2025-08-31,GIFT_CARD,34.22,2.4,0.0
POS-00000149,ST-005,2025-04-07,GIFT_CARD,36.36,2.55,0.0
POS-00000150,ST-006,2025-03-27,CASH,24.38,1.71,0.0
POS-00000151,ST-001,2025-12-19,GIFT_CARD,69.13,4.84,0.0
POS-00000152,ST-003,2025-11-12,CREDIT,7.38,0.52,0.0
POS-00000153,ST-005,2025-06-04,DEBIT,23.14,1.62,0.0
POS-00000154,ST-007,2025-04-07,CASH,44.61,3.12,0.0
POS-00000155,ST-003,2025-05-19,CASH,20.7,1.45,0.0
POS-00000156,ST-006,2025-04-09,GIFT_CARD,38.87,2.72,0.0
POS-00000157,ST-006,2025-12-16,DEBIT,25.54,1.79,0.0
POS-00000158,ST-008,2025-01-07,GIFT_CARD,19.65,1.38,0.0
POS-00000159,ST-001,2025-02-14,DEBIT,16.3,1.14,0.0
POS-00000160,ST-008,2025-05-09,CREDIT,19.67,1.38,0.0
POS-00000161,ST-007,2025-10-09,GIFT_CARD,22.41,1.57,0.0
POS-00000162,ST-004,2025-12-20,DEBIT,51.44,3.6,0.0
POS-00000163,ST-003,2025-12-24,CASH,54.52,3.82,0.0
POS-00000164,ST-006,2025-04-25,GIFT_CARD,8.08,0.57,0.0
POS-00000165,ST-006,2025-02-18,CREDIT,22.63,1.58,0.0
POS-00000166,ST-001,2025-03-04,DEBIT,20.03,1.4,0.0
POS-00000167,ST-008,2025-06-18,DEBIT,37.89,2.65,0.0
POS-00000168,ST-001,2025-07-01,CREDIT,147.57,10.33,0.0
POS-00000169,ST-001,2025-07-16,DEBIT,84.82,5.94,0.0
POS-00000170,ST-007,2025-06-25,DEBIT,21.64,1.51,0.0
POS-00000171,ST-007,2025-08-20,CASH,15.41,1.08,0.0
POS-00000172,ST-002,2025-12-16,CREDIT,34.21,2.39,0.0
POS-00000173,ST-001,2025-02-03,GIFT_CARD,21.3,1.49,0.0
POS-00000174,ST-005,2025-03-17,GIFT_CARD,31.16,2.18,0.0
POS-00000175,ST-004,2025-07-17,CASH,26.13,1.83,0.0
POS-00000176,ST-006,2025-07-11,CREDIT,17.89,1.25,0.0
POS-00000177,ST-008,2025-08-22,CREDIT,27.99,1.96,0.0
POS-00000178,ST-001,2025-06-19,GIFT_CARD,85.71,6.0,0.0
POS-00000179,ST-002,2025-08-01,DEBIT,13.67,0.96,0.0
POS-00000180,ST-008,2025-12-02,CASH,31.6,2.21,0.0
POS-00000181,ST-007,2025-05-24,CASH,15.95,1.12,0.0
POS-00000182,ST-001,2025-09-29,CASH,38.45,2.69,0.0
POS-00000183,ST-006,2025-08-27,CREDIT,137.9,9.65,0.0
POS-00000184,ST-007,2025-06-20,GIFT_CARD,46.26,3.24,0.0
POS-00000185,ST-002,2025-09-11,CASH,89.37,6.26,0.0
POS-00000186,ST-005,2025-12-26,CASH,100.59,7.04,0.0
POS-00000187,ST-004,2025-05-07,CASH,17.68,1.24,0.0
POS-00000188,ST-006,2025-01-10,GIFT_CARD,28.3,1.98,0.0
POS-00000189,ST-002,2025-08-01,DEBIT,41.55,2.91,0.0
POS-00000190,ST-006,2025-02-21,DEBIT,28.02,1.96,0.0
POS-00000191,ST-008,2025-02-07,GIFT_CARD,31.0,2.17,0.0
POS-00000192,ST-004,2025-05-08,CREDIT,29.66,2.08,0.0
POS-00000193,ST-008,2025-09-02,DEBIT,67.87,4.75,0.0
POS-00000194,ST-003,2025-06-14,CREDIT,44.29,3.1,0.0
POS-00000195,ST-001,2025-07-23,DEBIT,26.39,1.85,0.0
POS-00000196,ST-002,2025-02-25,DEBIT,44.86,3.14,0.0
POS-00000197,ST-003,2025-05-17,CREDIT,31.57,2.21,0.0
POS-00000198,ST-003,2025-05-10,CREDIT,29.61,2.07,0.0
POS-00000199,ST-004,2025-02-22,DEBIT,38.56,2.7,0.0
POS-00000200,ST-003,2025-08-02,DEBIT,63.73,4.46,0.0
POS-00000201,ST-003,2025-12-21,CREDIT,29.81,2.09,0.0
POS-00000202,ST-007,2025-08-18,CASH,50.17,3.51,0.0
POS-00000203,ST-007,2025-06-15,CASH,77.01,5.39,0.0
POS-00000204,ST-005,2025-01-13,CREDIT,6.24,0.44,0.0
POS-00000205,ST-006,2025-12-19,GIFT_CARD,12.01,0.84,0.0
POS-00000206,ST-004,2025-01-16,CASH,166.82,11.68,0.0
POS-00000207,ST-008,2025-12-20,CREDIT,30.53,2.14,0.0
POS-00000208,ST-005,2025-06-28,GIFT_CARD,21.5,1.5,0.0
POS-00000209,ST-007,2025-02-03,GIFT_CARD,15.07,1.05,0.0
POS-00000210,ST-008,2025-12-04,DEBIT,23.12,1.62,0.0
POS-00000211,ST-003,2025-02-02,CREDIT,10.6,0.74,0.0
POS-00000212,ST-003,2025-11-14,CREDIT,154.62,10.82,0.0
POS-00000213,ST-007,2025-09-26,CASH,13.98,0.98,0.0
POS-00000214,ST-005,2025-01-17,GIFT_CARD,7.61,0.53,0.0
POS-00000215,ST-002,2025-10-16,CASH,68.8,4.82,0.0
POS-00000216,ST-002,2025-10-06,CASH,14.66,1.03,0.0
POS-00000217,ST-008,2025-11-21,GIFT_CARD,27.22,1.91,0.0
POS-00000218,ST-001,2025-08-14,DEBIT,14.86,1.04,0.0
POS-00000219,ST-004,2025-05-23,DEBIT,98.02,6.86,0.0
POS-00000220,ST-004,2025-06-29,CREDIT,32.96,2.31,0.0
POS-00000221,ST-003,2025-12-27,CASH,41.81,2.93,0.0
POS-00000222,ST-004,2025-06-21,DEBIT,12.16,0.85,0.0
POS-00000223,ST-008,2025-05-19,GIFT_CARD,22.11,1.55,0.0
POS-00000224,ST-005,2025-03-14,GIFT_CARD,5.13,0.36,0.0
POS-00000225,ST-004,2025-02-27,CASH,18.85,1.32,0.0
POS-00000226,ST-008,2025-08-13,GIFT_CARD,17.23,1.21,0.0
POS-00000227,ST-003,2025-04-20,GIFT_CARD,33.38,2.34,0.0
POS-00000228,ST-006,2025-07-05,DEBIT,16.66,1.17,0.0
POS-00000229,ST-006,2025-08-18,GIFT_CARD,58.61,4.1,0.0
POS-00000230,ST-004,2025-11-29,CASH,21.01,1.47,0.0
POS-00000231,ST-007,2025-05-29,CASH,13.45,0.94,0.0
POS-00000232,ST-001,2025-12-12,GIFT_CARD,12.83,0.9,0.0
POS-00000233,ST-008,2025-07-15,CASH,26.94,1.89,0.0
POS-00000234,ST-006,2025-09-27,GIFT_CARD,22.01,1.54,0.0
POS-00000235,ST-004,2025-07-30,CREDIT,58.97,4.13,0.0
POS-00000236,ST-004,2025-10-07,CASH,125.01,8.75,0.0
POS-00000237,ST-001,2025-01-29,CASH,17.67,1.24,0.0
POS-00000238,ST-002,2025-08-16,CASH,6.09,0.43,0.0
POS-00000239,ST-001,2025-10-29,CREDIT,33.89,2.37,0.0
POS-00000240,ST-002,2025-07-14,CASH,45.51,3.19,0.0
POS-00000241,ST-003,2025-04-15,CREDIT,19.54,1.37,0.0
POS-00000242,ST-004,2025-07-31,CREDIT,6.53,0.46,0.0
POS-00000243,ST-003,2025-04-18,CREDIT,51.33,3.59,0.0
POS-00000244,ST-005,2025-07-18,CREDIT,15.16,1.06,0.0
POS-00000245,ST-008,2025-10-03,CASH,52.4,3.67,0.0
POS-00000246,ST-003,2025-06-13,CREDIT,60.49,4.23,0.0
POS-00000247,ST-004,2025-01-10,DEBIT,12.28,0.86,0.0
POS-00000248,ST-001,2025-11-19,GIFT_CARD,26.77,1.87,0.0
POS-00000249,ST-008,2025-09-16,CASH,38.8,2.72,0.0
POS-00000250,ST-005,2025-11-23,CASH,31.95,2.24,0.0
POS-00000251,ST-003,2025-10-09,DEBIT,47.79,3.35,0.0
POS-00000252,ST-004,2025-12-10,CASH,6.04,0.42,0.0
POS-00000253,ST-008,2025-07-24,CASH,30.12,2.11,0.0
POS-00000254,ST-002,2025-01-12,GIFT_CARD,70.03,4.9,0.0
POS-00000255,ST-005,2025-10-10,CREDIT,58.78,4.11,0.0
POS-00000256,ST-008,2025-07-26,CREDIT,71.52,5.01,0.0
POS-00000257,ST-001,2025-12-21,CASH,30.43,2.13,0.0
POS-00000258,ST-004,2025-03-22,GIFT_CARD,59.41,4.16,0.0
POS-00000259,ST-005,2025-10-01,CASH,10.92,0.76,0.0
POS-00000260,ST-004,2025-12-09,DEBIT,68.26,4.78,0.0
POS-00000261,ST-001,2025-07-15,CREDIT,13.79,0.97,0.0
POS-00000262,ST-002,2025-01-10,CASH,100.98,7.07,0.0
POS-00000263,ST-001,2025-07-15,CASH,19.32,1.35,0.0
POS-00000264,ST-001,2025-05-02,DEBIT,44.75,3.13,0.0
POS-00000265,ST-001,2025-04-23,GIFT_CARD,34.99,2.45,0.0
POS-00000266,ST-006,2025-08-26,GIFT_CARD,72.78,5.09,0.0
POS-00000267,ST-006,2025-01-14,CREDIT,28.79,2.02,0.0
POS-00000268,ST-006,2025-07-19,GIFT_CARD,23.95,1.68,0.0
POS-00000269,ST-006,2025-06-04,CASH,46.59,3.26,0.0
POS-00000270,ST-003,2025-01-20,GIFT_CARD,97.72,6.84,0.0
POS-00000271,ST-001,2025-09-29,CASH,35.71,2.5,0.0
POS-00000272,ST-008,2025-05-22,GIFT_CARD,10.27,0.72,0.0
POS-00000273,ST-001,2025-07-13,GIFT_CARD,64.2,4.49,0.0
POS-00000274,ST-001,2025-07-17,GIFT_CARD,23.35,1.63,0.0
POS-00000275,ST-007,2025-07-07,CASH,53.31,3.73,0.0
POS-00000276,ST-008,2025-02-03,GIFT_CARD,259.58,18.17,0.0
POS-00000277,ST-008,2025-01-16,CREDIT,40.71,2.85,0.0
POS-00000278,ST-004,2025-03-18,GIFT_CARD,22.78,1.59,0.0
POS-00000279,ST-008,2025-01-05,CASH,63.58,4.45,0.0
POS-00000280,ST-003,2025-09-02,DEBIT,21.95,1.54,0.0
POS-00000281,ST-008,2025-04-15,CREDIT,57.7,4.04,0.0
POS-00000282,ST-005,2025-06-11,GIFT_CARD,12.06,0.84,0.0
POS-00000283,ST-008,2025-08-17,CASH,25.17,1.76,0.0
POS-00000284,ST-001,2025-05-03,CASH,13.71,0.96,0.0
POS-00000285,ST-007,2025-10-26,CREDIT,14.0,0.98,0.0
POS-00000286,ST-001,2025-09-26,CREDIT,20.99,1.47,0.0
POS-00000287,ST-006,2025-01-26,CASH,17.88,1.25,0.0
POS-00000288,ST-008,2025-06-23,CASH,14.42,1.01,0.0
POS-00000289,ST-003,2025-10-14,CASH,11.8,0.83,0.0
POS-00000290,ST-006,2025-07-07,GIFT_CARD,26.42,1.85,0.0
POS-00000291,ST-003,2025-10-18,DEBIT,28.26,1.98,0.0
POS-00000292,ST-001,2025-04-30,DEBIT,81.51,5.71,0.0
POS-00000293,ST-008,2025-01-23,DEBIT,18.79,1.32,0.0
POS-00000294,ST-005,2025-06-23,GIFT_CARD,91.74,6.42,0.0
POS-00000295,ST-003,2025-07-21,CASH,43.63,3.05,0.0
POS-00000296,ST-001,2025-02-21,GIFT_CARD,18.75,1.31,0.0
POS-00000297,ST-004,2025-01-18,CREDIT,119.52,8.37,0.0
POS-00000298,ST-006,2025-03-16,DEBIT,43.69,3.06,0.0
POS-00000299,ST-003,2025-05-26,CREDIT,79.05,5.53,0.0
POS-00000300,ST-008,2025-04-07,CREDIT,57.04,3.99,0.0
POS-00000301,ST-008,2025-10-31,DEBIT,7.36,0.52,0.0
POS-00000302,ST-004,2025-06-26,DEBIT,37.32,2.61,0.0
POS-00000303,ST-007,2025-07-25,CREDIT,90.72,6.35,0.0
POS-00000304,ST-008,2025-04-01,DEBIT,7.6,0.53,0.0
POS-00000305,ST-006,2025-12-02,GIFT_CARD,39.52,2.77,0.0
POS-00000306,ST-004,2025-01-26,CREDIT,14.59,1.02,0.0
POS-00000307,ST-001,2025-12-31,GIFT_CARD,31.95,2.24,0.0
POS-00000308,ST-004,2025-12-31,DEBIT,79.75,5.58,0.0
POS-00000309,ST-004,2025-12-23,GIFT_CARD,34.32,2.4,0.0
POS-00000310,ST-006,2025-07-05,CASH,14.78,1.03,0.0
POS-00000311,ST-005,2025-09-16,CASH,18.97,1.33,0.0
POS-00000312,ST-005,2025-09-30,CASH,68.24,4.78,0.0
POS-00000313,ST-002,2025-10-01,GIFT_CARD,20.25,1.42,0.0
POS-00000314,ST-004,2025-02-12,CREDIT,32.79,2.3,0.0
POS-00000315,ST-004,2025-07-04,CREDIT,21.52,1.51,0.0
POS-00000316,ST-006,2025-11-23,CREDIT,112.97,7.91,0.0
POS-00000317,ST-002,2025-07-18,CREDIT,4.53,0.32,0.0
POS-00000318,ST-002,2025-03-10,CASH,22.23,1.56,0.0
POS-00000319,ST-001,2025-11-28,CREDIT,53.17,3.72,0.0
POS-00000320,ST-002,2025-03-27,CREDIT,79.54,5.57,0.0
POS-00000321,ST-001,2025-08-11,GIFT_CARD,39.63,2.77,0.0
POS-00000322,ST-003,2025-01-18,CASH,30.16,2.11,0.0
POS-00000323,ST-004,2025-11-09,CASH,27.46,1.92,0.0
POS-00000324,ST-006,2025-01-01,GIFT_CARD,42.69,2.99,0.0
POS-00000325,ST-004,2025-07-22,GIFT_CARD,73.92,5.17,0.0
POS-00000326,ST-003,2025-08-12,GIFT_CARD,22.15,1.55,0.0
POS-00000327,ST-006,2025-04-19,CREDIT,36.18,2.53,0.0
POS-00000328,ST-004,2025-05-31,GIFT_CARD,28.76,2.01,0.0
POS-00000329,ST-006,2025-12-25,DEBIT,18.91,1.32,0.0
POS-00000330,ST-008,2025-07-05,DEBIT,24.45,1.71,0.0
POS-00000331,ST-002,2025-01-19,GIFT_CARD,19.44,1.36,0.0
POS-00000332,ST-003,2025-10-02,GIFT_CARD,45.32,3.17,0.0
POS-00000333,ST-008,2025-07-30,DEBIT,64.26,4.5,0.0
POS-00000334,ST-007,2025-10-15,DEBIT,13.08,0.92,0.0
POS-00000335,ST-006,2025-09-04,CREDIT,96.5,6.76,0.0
POS-00000336,ST-005,2025-11-05,CASH,89.75,6.28,0.0
POS-00000337,ST-006,2025-06-28,DEBIT,16.83,1.18,0.0
POS-00000338,ST-007,2025-11-26,GIFT_CARD,47.67,3.34,0.0
POS-00000339,ST-008,2025-07-09,GIFT_CARD,11.9,0.83,0.0
POS-00000340,ST-007,2025-10-26,DEBIT,68.92,4.82,0.0
POS-00000341,ST-005,2025-06-01,CASH,24.5,1.72,0.0
POS-00000342,ST-004,2025-09-29,CREDIT,8.02,0.56,0.0
POS-00000343,ST-001,2025-11-09,GIFT_CARD,48.76,3.41,0.0
POS-00000344,ST-007,2025-03-28,CREDIT,29.84,2.09,0.0
POS-00000345,ST-002,2025-11-17,GIFT_CARD,14.32,1.0,0.0
POS-00000346,ST-008,2025-04-16,DEBIT,39.49,2.76,0.0
POS-00000347,ST-001,2025-02-08,GIFT_CARD,19.85,1.39,0.0
POS-00000348,ST-001,2025-03-03,CREDIT,39.27,2.75,0.0
POS-00000349,ST-002,2025-11-28,CASH,84.47,5.91,0.0
POS-00000350,ST-007,2025-05-23,GIFT_CARD,92.62,6.48,0.0
POS-00000351,ST-004,2025-07-30,CASH,41.46,2.9,0.0
POS-00000352,ST-007,2025-10-02,DEBIT,70.49,4.93,0.0
POS-00000353,ST-005,2025-11-17,DEBIT,11.19,0.78,0.0
POS-00000354,ST-005,2025-11-09,DEBIT,48.73,3.41,0.0
POS-00000355,ST-005,2025-12-11,DEBIT,7.55,0.53,0.0
POS-00000356,ST-006,2025-05-09,GIFT_CARD,22.12,1.55,0.0
POS-00000357,ST-003,2025-10-09,GIFT_CARD,6.67,0.47,0.0
POS-00000358,ST-001,2025-09-24,DEBIT,6.88,0.48,0.0
POS-00000359,ST-001,2025-06-25,CASH,42.07,2.94,0.0
POS-00000360,ST-002,2025-01-23,CREDIT,21.65,1.52,0.0
POS-00000361,ST-002,2025-12-22,CREDIT,28.31,1.98,0.0
POS-00000362,ST-006,2025-11-04,CREDIT,27.67,1.94,0.0
POS-00000363,ST-002,2025-11-25,GIFT_CARD,7.65,0.54,0.0
POS-00000364,ST-005,2025-09-16,CREDIT,23.24,1.63,0.0
POS-00000365,ST-004,2025-07-21,GIFT_CARD,20.82,1.46,0.0
POS-00000366,ST-005,2025-07-27,DEBIT,5.67,0.4,0.0
POS-00000367,ST-008,2025-10-12,CASH,68.39,4.79,0.0
POS-00000368,ST-007,2025-12-30,DEBIT,21.38,1.5,0.0
POS-00000369,ST-008,2025-03-05,CREDIT,40.7,2.85,0.0
POS-00000370,ST-004,2025-10-11,GIFT_CARD,65.59,4.59,0.0
POS-00000371,ST-005,2025-01-28,DEBIT,39.78,2.78,0.0
