bill_id,vendor_id,invoice_number,invoice_date,due_date,po_number,amount,paid_amount,balance,status,approved_by
BILL-2025000027,VEND-00037,V67918,2025-02-18,2025-04-04,PO-591246,1140.07,1140.07,0.0,paid,rwhite
BILL-2025000028,VEND-00005,V47260,2025-06-23,2025-07-23,PO-149401,114.69,114.69,0.0,paid,sjohnson
BILL-2025000029,VEND-00006,V88723,2025-11-27,2026-01-26,PO-616610,3876.53,3876.53,0.0,paid,rwhite
BILL-2025000030,VEND-00015,V35996,2025-11-21,2025-12-21,PO-382609,3017.35,3017.35,0.0,paid,rwhite
BILL-2025000031,VEND-00028,V66152,2025-12-02,2026-01-01,PO-130706,1370.08,1089.46,280.62,open,kpatel
BILL-2025000032,VEND-00013,V71920,2025-07-21,2025-09-04,,613.82,543.47,70.35,open,mlopez
BILL-2025000033,VEND-00005,V71693,2025-01-08,2025-03-09,,438.63,438.63,0.0,paid,sjohnson
BILL-2025000034,VEND-00037,V99174,2025-09-14,2025-10-29,PO-451209,1847.25,1847.25,0.0,paid,rwhite
BILL-2025000035,VEND-00012,V21268,2025-11-12,2026-01-11,PO-521975,368.01,78.69,289.32,open,rwhite
BILL-2025000036,VEND-00024,V91675,2025-09-26,2025-10-26,PO-190943,218.76,218.76,0.0,paid,rwhite
BILL-2025000037,VEND-00023,V61442,2025-03-14,2025-05-13,PO-247079,3874.18,3874.18,0.0,paid,sjohnson
BILL-2025000038,VEND-00015,V91478,2025-03-13,2025-05-12,PO-293857,1772.02,920.91,851.11,open,sjohnson
BILL-2025000039,VEND-00003,V25289,2025-06-21,2025-08-20,PO-207718,1057.22,1057.22,0.0,paid,kpatel
BILL-2025000040,VEND-00019,V31008,2025-10-26,2025-12-25,PO-228127,784.55,784.55,0.0,paid,kpatel
BILL-2025000041,VEND-00010,V85089,2025-05-26,2025-06-25,PO-238879,158.59,158.59,0.0,paid,kpatel
BILL-2025000042,VEND-00012,V17427,2025-06-25,2025-08-24,,2327.92,878.9,1449.02,open,sjohnson
BILL-2025000043,VEND-00006,V27617,2025-01-12,2025-03-13,PO-858287,8236.34,2140.47,6095.87,open,sjohnson
BILL-2025000044,VEND-00034,V47471,2025-08-26,2025-09-25,,1836.22,1836.22,0.0,paid,rwhite
BILL-2025000045,VEND-00039,V74123,2025-10-08,2025-11-22,PO-858647,755.9,184.95,570.95,open,rwhite
BILL-2025000046,VEND-00006,V65281,2025-02-27,2025-04-28,PO-972479,537.39,134.3,403.09,open,mlopez
BILL-2025000047,VEND-00030,V83888,2025-01-01,2025-01-31,PO-675485,759.19,759.19,0.0,paid,rwhite
BILL-2025000048,VEND-00024,V90827,2025-04-23,2025-05-23,PO-629707,819.9,819.9,0.0,paid,kpatel
BILL-2025000049,VEND-00024,V31726,2025-07-19,2025-09-02,,4416.06,3868.76,547.3,open,mlopez
BILL-2025000050,VEND-00005,V93753,2025-07-18,2025-09-01,,333.32,326.99,6.33,open,rwhite
BILL-2025000051,VEND-00038,V17387,2025-09-06,2025-10-21,PO-621430,3903.14,3529.27,373.87,open,kpatel
BILL-2025000052,VEND-00040,V62875,2025-01-18,2025-02-17,PO-253228,540.1,359.03,181.07,open,kpatel
BILL-2025000053,VEND-00031,V65399,2025-02-18,2025-03-20,PO-352780,5132.49,5132.49,0.0,paid,kpatel
BILL-2025000054,VEND-00004,V16507,2025-12-16,2026-01-15,,371.44,371.44,0.0,paid,kpatel
BILL-2025000055,VEND-00030,V39486,2025-02-28,2025-04-14,PO-667049,785.3,785.3,0.0,paid,rwhite
BILL-2025000056,VEND-00027,V67712,2025-01-23,2025-02-22,PO-602996,2146.73,2146.73,0.0,paid,sjohnson
BILL-2025000057,VEND-00036,V68021,2025-01-06,2025-02-20,PO-144611,984.76,984.76,0.0,paid,kpatel
BILL-2025000058,VEND-00022,V25992,2025-07-20,2025-08-19,PO-735269,453.55,453.55,0.0,paid,kpatel
BILL-2025000059,VEND-00033,V44658,2025-04-21,2025-06-20,PO-892012,173.92,173.92,0.0,paid,mlopez
BILL-2025000060,VEND-00001,V45437,2025-09-14,2025-10-14,PO-150709,1017.79,448.56,569.23,open,kpatel
BILL-2025000061,VEND-00033,V27337,2025-09-06,2025-10-06,PO-257687,332.45,300.66,31.79,open,kpatel
BILL-2025000062,VEND-00019,V14892,2025-10-10,2025-11-24,PO-791595,1608.27,1608.27,0.0,paid,rwhite
BILL-2025000063,VEND-00020,V94750,2025-06-22,2025-08-06,PO-277835,574.71,574.71,0.0,paid,rwhite
BILL-2025000064,VEND-00028,V35490,2025-09-05,2025-10-05,PO-225067,437.12,437.12,0.0,paid,kpatel
BILL-2025000065,VEND-00011,V33322,2025-02-07,2025-03-09,PO-677968,1310.61,1310.61,0.0,paid,rwhite
BILL-2025000066,VEND-00035,V10585,2025-11-29,2025-12-29,PO-745111,2233.47,2233.47,0.0,paid,kpatel
BILL-2025000067,VEND-00032,V31184,2025-10-19,2025-12-18,PO-581368,2440.8,2440.8,0.0,paid,rwhite
BILL-2025000068,VEND-00023,V26394,2025-09-07,2025-10-07,,8244.81,5306.98,2937.83,open,mlopez
BILL-2025000069,VEND-00015,V91644,2025-04-16,2025-05-16,PO-996616,2001.38,230.78,1770.6,open,kpatel
BILL-2025000070,VEND-00039,V31016,2025-05-13,2025-07-12,PO-920454,653.23,200.55,452.68,open,rwhite
BILL-2025000071,VEND-00020,V50896,2025-11-21,2025-12-21,PO-118198,0.0,0.0,0.0,open,sjohnson
BILL-2025000072,VEND-00024,V83649,2025-04-22,2025-06-21,PO-552467,2136.41,2136.41,0.0,paid,kpatel
BILL-2025000073,VEND-00009,V74643,2025-02-25,2025-03-27,PO-979222,707.82,707.82,0.0,paid,rwhite
BILL-2025000074,VEND-00014,V47327,2025-05-07,2025-06-21,PO-145391,2566.72,2566.72,0.0,paid,rwhite
BILL-2025000075,VEND-00024,V90573,2025-12-31,2026-03-01,,1372.37,1372.37,0.0,paid,kpatel
BILL-2025000076,VEND-00005,V45890,2025-12-13,2026-01-27,,189.51,189.51,0.0,paid,sjohnson
BILL-2025000077,VEND-00009,V26311,2025-10-20,2025-11-19,PO-397764,4562.18,4562.18,0.0,paid,rwhite
BILL-2025000078,VEND-00027,V65622,2025-10-22,2025-12-06,PO-900238,504.14,340.38,163.76,open,kpatel
BILL-2025000079,VEND-00030,V81292,2025-09-19,2025-11-03,PO-269554,457.45,457.45,0.0,paid,mlopez
BILL-2025000080,VEND-00016,V86088,2025-03-21,2025-05-20,PO-552802,117.06,117.06,0.0,paid,mlopez
BILL-2025000081,VEND-00026,V85271,2025-12-04,2026-01-03,PO-946059,328.13,328.13,0.0,paid,sjohnson
BILL-2025000082,VEND-00032,V31028,2025-03-13,2025-04-27,PO-210908,462.68,462.68,0.0,paid,kpatel
BILL-2025000083,VEND-00012,V42718,2025-05-23,2025-07-07,,838.31,838.31,0.0,paid,mlopez
BILL-2025000084,VEND-00001,V14237,2025-08-04,2025-09-03,PO-549398,729.63,729.63,0.0,paid,kpatel
BILL-2025000085,VEND-00005,V12988,2025-10-13,2025-11-12,,3826.94,3826.94,0.0,paid,sjohnson
BILL-2025000086,VEND-00008,V89992,2025-08-25,2025-09-24,,587.51,587.51,0.0,paid,sjohnson
BILL-2025000087,VEND-00028,V55953,2025-10-19,2025-12-03,PO-858313,1385.0,1140.21,244.79,open,sjohnson
BILL-2025000088,VEND-00017,V14140,2025-01-14,2025-02-28,,320.93,286.03,34.9,open,kpatel
BILL-2025000089,VEND-00036,V58896,2025-04-18,2025-06-02,PO-750239,4268.55,4268.55,0.0,paid,mlopez
BILL-2025000090,VEND-00034,V54022,2025-12-01,2026-01-15,PO-338171,1068.55,1068.55,0.0,paid,rwhite
BILL-2025000091,VEND-00026,V24424,2025-05-10,2025-06-24,PO-289257,1428.89,1428.89,0.0,paid,sjohnson
BILL-2025000092,VEND-00028,V55221,2025-03-30,2025-05-14,PO-945105,1262.14,1262.14,0.0,paid,mlopez
BILL-2025000093,VEND-00012,V25486,2025-03-06,2025-05-05,PO-882730,1758.58,1758.58,0.0,paid,mlopez
BILL-2025000094,VEND-00021,V71260,2025-10-08,2025-11-22,PO-747895,710.63,710.63,0.0,paid,rwhite
BILL-2025000095,VEND-00038,V96604,2025-10-22,2025-12-21,PO-170231,359.92,359.92,0.0,paid,sjohnson
BILL-2025000096,VEND-00027,V70361,2025-04-04,2025-05-04,PO-351695,371.32,148.99,222.33,open,sjohnson
BILL-2025000097,VEND-00038,V26504,2025-06-30,2025-08-29,PO-576882,359.11,359.11,0.0,paid,mlopez
BILL-2025000098,VEND-00010,V57653,2025-07-26,2025-09-09,,922.79,922.79,0.0,paid,sjohnson
BILL-2025000099,VEND-00011,V17198,2025-03-02,2025-04-16,PO-442567,984.27,984.27,0.0,paid,kpatel
BILL-2025000100,VEND-00014,V89232,2025-02-21,2025-04-22,,277.01,277.01,0.0,paid,rwhite
BILL-2025000101,VEND-00037,V57533,2025-09-08,2025-10-23,PO-643833,1500.78,52.22,1448.56,open,mlopez
BILL-2025000102,VEND-00013,V55780,2025-06-07,2025-08-06,PO-245891,1377.93,1377.93,0.0,paid,kpatel
BILL-2025000103,VEND-00021,V49333,2025-12-08,2026-01-22,,619.59,619.59,0.0,paid,mlopez
BILL-2025000104,VEND-00040,V33024,2025-08-24,2025-09-23,PO-985502,101.89,59.26,42.63,open,mlopez
BILL-2025000105,VEND-00028,V81896,2025-05-31,2025-07-15,PO-365106,992.73,992.73,0.0,paid,mlopez
BILL-2025000106,VEND-00007,V63835,2025-05-31,2025-07-30,PO-108504,1474.09,1474.09,0.0,paid,mlopez
BILL-2025000107,VEND-00020,V88720,2025-04-22,2025-06-06,,1743.84,1743.84,0.0,paid,sjohnson
BILL-2025000108,VEND-00031,V85721,2025-05-29,2025-07-28,PO-656831,1311.5,1311.5,0.0,paid,sjohnson
BILL-2025000109,VEND-00001,V25008,2025-01-11,2025-02-10,,713.04,137.35,575.69,open,sjohnson
BILL-2025000110,VEND-00039,V13142,2025-12-30,2026-01-29,PO-991264,677.02,509.95,167.07,open,kpatel
BILL-2025000111,VEND-00035,V68737,2025-01-24,2025-02-23,PO-366764,1589.8,1589.8,0.0,paid,kpatel
BILL-2025000112,VEND-00017,V26756,2025-06-21,2025-08-05,PO-286702,1411.24,1411.24,0.0,paid,sjohnson
BILL-2025000113,VEND-00029,V56286,2025-05-22,2025-07-06,PO-307532,3414.47,90.68,3323.79,open,kpatel
BILL-2025000114,VEND-00005,V16402,2025-09-14,2025-10-14,PO-416624,373.19,126.59,246.6,open,mlopez
BILL-2025000115,VEND-00004,V18179,2025-04-11,2025-05-26,PO-676385,792.26,43.21,749.05,open,kpatel
BILL-2025000116,VEND-00032,V36286,2025-11-21,2026-01-05,PO-965097,1691.93,1691.93,0.0,paid,kpatel
BILL-2025000117,VEND-00012,V39689,2025-09-15,2025-10-30,PO-561613,1047.36,1047.36,0.0,paid,mlopez
BILL-2025000118,VEND-00025,V44569,2025-07-07,2025-09-05,PO-186874,741.64,741.64,0.0,paid,kpatel
BILL-2025000119,VEND-00001,V82444,2025-07-18,2025-09-01,PO-776253,356.23,9.39,346.84,open,sjohnson
BILL-2025000120,VEND-00007,V72709,2025-12-24,2026-01-23,PO-136221,171.01,171.01,0.0,paid,kpatel
BILL-2025000121,VEND-00013,V24675,2025-11-06,2025-12-21,PO-614588,805.75,805.75,0.0,paid,rwhite
BILL-2025000122,VEND-00002,V29936,2025-12-11,2026-01-25,PO-144385,363.03,363.03,0.0,paid,kpatel
BILL-2025000123,VEND-00031,V45331,2025-01-03,2025-03-04,PO-151991,4925.44,4925.44,0.0,paid,sjohnson
BILL-2025000124,VEND-00018,V45363,2025-07-08,2025-08-07,PO-861523,1128.0,455.2,672.8,open,mlopez
BILL-2025000125,VEND-00038,V98328,2025-11-13,2025-12-28,PO-314239,310.93,310.93,0.0,paid,rwhite
BILL-2025000126,VEND-00027,V29823,2025-12-09,2026-01-23,,654.46,654.46,0.0,paid,rwhite
BILL-2025000127,VEND-00005,V20988,2025-01-25,2025-02-24,PO-626626,510.7,10.14,500.56,open,mlopez
BILL-2025000128,VEND-00029,V72249,2025-06-16,2025-07-16,PO-416191,228.21,219.09,9.12,open,kpatel
BILL-2025000129,VEND-00016,V97046,2025-11-13,2026-01-12,,1404.08,1404.08,0.0,paid,rwhite
BILL-2025000130,VEND-00002,V36345,2025-04-01,2025-05-01,PO-303715,2417.97,2417.97,0.0,paid,sjohnson
BILL-2025000131,VEND-00002,V34905,2025-12-20,2026-01-19,PO-113109,750.39,499.85,250.54,open,kpatel
BILL-2025000132,VEND-00040,V48271,2025-09-24,2025-11-23,PO-222747,486.15,261.94,224.21,open,sjohnson
BILL-2025000133,VEND-00029,V38058,2025-01-27,2025-02-26,PO-583403,290.24,290.24,0.0,paid,mlopez
BILL-2025000134,VEND-00007,V64897,2025-01-20,2025-03-21,PO-701541,1185.75,589.51,596.24,open,mlopez
BILL-2025000135,VEND-00007,V98573,2025-08-26,2025-10-25,PO-993400,1003.76,1003.76,0.0,paid,sjohnson
BILL-2025000136,VEND-00003,V69993,2025-09-30,2025-11-29,PO-562396,883.13,883.13,0.0,paid,rwhite
BILL-2025000137,VEND-00013,V86377,2025-06-09,2025-07-09,,2946.96,955.32,1991.64,open,mlopez
BILL-2025000138,VEND-00017,V24814,2025-01-01,2025-01-31,PO-197972,98.46,76.53,21.93,open,kpatel
BILL-2025000139,VEND-00017,V89822,2025-12-26,2026-01-25,PO-531608,880.86,188.61,692.25,open,sjohnson
BILL-2025000140,VEND-00040,V62062,2025-06-03,2025-07-18,PO-978277,978.55,978.55,0.0,paid,rwhite
BILL-2025000141,VEND-00040,V52865,2025-12-28,2026-01-27,PO-360543,1720.5,1720.5,0.0,paid,sjohnson
BILL-2025000142,VEND-00023,V42166,2025-04-08,2025-05-23,PO-720906,3450.95,3450.95,0.0,paid,kpatel
BILL-2025000143,VEND-00025,V74841,2025-11-06,2025-12-21,PO-203378,389.3,285.22,104.08,open,rwhite
BILL-2025000144,VEND-00022,V51970,2025-11-08,2026-01-07,PO-820406,1050.33,1050.33,0.0,paid,sjohnson
BILL-2025000145,VEND-00027,V67264,2025-01-30,2025-03-16,PO-507111,970.19,283.64,686.55,open,sjohnson
BILL-2025000146,VEND-00013,V18020,2025-08-15,2025-09-14,PO-514117,214.88,1.71,213.17,open,sjohnson
BILL-2025000147,VEND-00029,V68939,2025-01-02,2025-02-01,PO-855844,174.49,174.49,0.0,paid,kpatel
BILL-2025000148,VEND-00001,V59616,2025-12-16,2026-02-14,PO-208098,994.41,994.41,0.0,paid,kpatel
BILL-2025000149,VEND-00036,V29989,2025-04-12,2025-06-11,PO-343762,294.73,87.64,207.09,open,kpatel
BILL-2025000150,VEND-00022,V98084,2025-03-13,2025-04-12,PO-517095,384.01,36.13,347.88,open,kpatel
BILL-2025000151,VEND-00015,V48819,2025-09-26,2025-11-10,PO-203836,345.87,184.8,161.07,open,rwhite
BILL-2025000152,VEND-00036,V76442,2025-10-01,2025-10-31,PO-346784,839.44,839.44,0.0,paid,sjohnson
BILL-2025000153,VEND-00003,V49774,2025-04-13,2025-05-13,PO-170144,1051.05,1007.83,43.22,open,rwhite
BILL-2025000154,VEND-00001,V44702,2025-01-19,2025-02-18,PO-977329,309.4,309.4,0.0,paid,kpatel
BILL-2025000155,VEND-00038,V82284,2025-09-30,2025-11-29,PO-314034,2311.41,2311.41,0.0,paid,mlopez
BILL-2025000156,VEND-00026,V87622,2025-03-09,2025-04-08,,327.91,138.56,189.35,open,sjohnson
BILL-2025000157,VEND-00040,V47443,2025-03-05,2025-05-04,PO-424487,316.68,316.68,0.0,paid,rwhite
BILL-2025000158,VEND-00038,V89200,2025-06-28,2025-08-12,PO-908520,1287.03,1287.03,0.0,paid,mlopez
BILL-2025000159,VEND-00009,V90868,2025-12-01,2025-12-31,PO-671776,459.9,459.9,0.0,paid,mlopez
BILL-2025000160,VEND-00032,V98375,2025-10-08,2025-11-22,PO-250472,1177.74,240.73,937.01,open,kpatel
BILL-2025000161,VEND-00010,V92690,2025-08-28,2025-10-27,PO-183891,264.47,264.47,0.0,paid,rwhite
BILL-2025000162,VEND-00029,V65328,2025-03-16,2025-04-15,PO-328612,974.46,173.35,801.11,open,sjohnson
BILL-2025000163,VEND-00016,V19961,2025-03-21,2025-04-20,PO-715099,329.45,329.45,0.0,paid,mlopez
BILL-2025000164,VEND-00026,V71980,2025-06-10,2025-08-09,PO-768612,521.46,521.46,0.0,paid,sjohnson
BILL-2025000165,VEND-00026,V68544,2025-05-06,2025-06-05,PO-800384,1869.55,1869.55,0.0,paid,rwhite
BILL-2025000166,VEND-00008,V34370,2025-05-11,2025-07-10,PO-346214,1664.76,1664.76,0.0,paid,kpatel
BILL-2025000167,VEND-00009,V60585,2025-12-23,2026-02-21,PO-269952,402.6,279.74,122.86,open,mlopez
BILL-2025000168,VEND-00021,V74534,2025-01-04,2025-03-05,PO-456040,1255.53,1255.53,0.0,paid,sjohnson
BILL-2025000169,VEND-00019,V74736,2025-08-07,2025-09-06,PO-587862,154.14,48.68,105.46,open,sjohnson
BILL-2025000170,VEND-00020,V49371,2025-02-26,2025-04-12,PO-273410,369.72,369.72,0.0,paid,mlopez
BILL-2025000171,VEND-00017,V34753,2025-07-04,2025-08-03,PO-678620,379.52,379.52,0.0,paid,sjohnson
BILL-2025000172,VEND-00027,V53788,2025-12-29,2026-02-12,PO-489839,148.53,148.53,0.0,paid,mlopez
BILL-2025000173,VEND-00030,V96044,2025-06-24,2025-08-23,PO-752509,318.37,318.37,0.0,paid,sjohnson
BILL-2025000174,VEND-00040,V46254,2025-05-04,2025-06-18,PO-629275,582.2,582.2,0.0,paid,mlopez
BILL-2025000175,VEND-00014,V48496,2025-12-28,2026-02-11,PO-905376,403.84,403.84,0.0,paid,rwhite
BILL-2025000176,VEND-00031,V61838,2025-03-26,2025-05-25,PO-491512,615.42,615.42,0.0,paid,kpatel
BILL-2025000177,VEND-00029,V86585,2025-12-13,2026-02-11,PO-936797,802.49,802.49,0.0,paid,kpatel
BILL-2025000178,VEND-00031,V86560,2025-08-24,2025-10-08,PO-272541,592.58,171.51,421.07,open,mlopez
BILL-2025000179,VEND-00019,V32644,2025-01-09,2025-02-23,,4781.89,1337.97,3443.92,open,sjohnson
BILL-2025000180,VEND-00019,V37662,2025-08-20,2025-09-19,PO-412029,597.42,597.42,0.0,paid,mlopez
BILL-2025000181,VEND-00019,V56203,2025-02-11,2025-04-12,PO-402264,930.48,552.14,378.34,open,rwhite
BILL-2025000182,VEND-00015,V91531,2025-10-21,2025-12-20,PO-824187,915.41,915.41,0.0,paid,sjohnson
BILL-2025000183,VEND-00003,V18852,2025-02-01,2025-03-03,PO-783873,792.03,74.39,717.64,open,mlopez
BILL-2025000184,VEND-00017,V59306,2025-12-22,2026-01-21,,648.47,648.47,0.0,paid,mlopez
BILL-2025000185,VEND-00017,V94865,2025-03-26,2025-05-25,PO-605616,1977.89,1977.89,0.0,paid,rwhite
BILL-2025000186,VEND-00001,V76990,2025-01-17,2025-03-03,PO-181305,1021.75,799.07,222.68,open,mlopez
BILL-2025000187,VEND-00016,V97317,2025-01-02,2025-02-01,PO-891491,7273.26,1556.44,5716.82,open,mlopez
BILL-2025000188,VEND-00035,V56446,2025-10-09,2025-11-08,PO-291637,2184.6,2184.6,0.0,paid,kpatel
BILL-2025000189,VEND-00017,V82971,2025-10-23,2025-12-07,PO-781105,1322.1,1322.1,0.0,paid,rwhite
BILL-2025000190,VEND-00035,V66117,2025-02-22,2025-04-08,PO-168801,53.6,26.72,26.88,open,sjohnson
BILL-2025000191,VEND-00014,V50633,2025-09-28,2025-10-28,,934.16,820.16,114.0,open,kpatel
BILL-2025000192,VEND-00035,V21222,2025-12-15,2026-01-29,PO-543918,2575.82,1534.6,1041.22,open,rwhite
BILL-2025000193,VEND-00021,V66916,2025-12-29,2026-02-27,PO-137498,190.81,190.81,0.0,paid,kpatel
BILL-2025000194,VEND-00017,V21316,2025-04-04,2025-05-19,PO-655479,468.67,319.0,149.67,open,kpatel
BILL-2025000195,VEND-00037,V68354,2025-04-18,2025-05-18,PO-804535,100.08,56.94,43.14,open,mlopez
BILL-2025000196,VEND-00018,V31247,2025-10-13,2025-11-12,PO-811457,1489.69,1489.69,0.0,paid,kpatel
BILL-2025000197,VEND-00036,V57676,2025-06-28,2025-08-12,PO-397799,1485.75,1485.75,0.0,paid,mlopez
BILL-2025000198,VEND-00034,V69637,2025-12-14,2026-01-13,PO-123603,2275.84,1800.99,474.85,open,rwhite
BILL-2025000199,VEND-00005,V16253,2025-03-23,2025-04-22,PO-100324,391.6,391.6,0.0,paid,sjohnson
BILL-2025000200,VEND-00026,V52366,2025-10-27,2025-11-26,,15476.23,15476.23,0.0,paid,mlopez
BILL-2025000201,VEND-00032,V36373,2025-02-07,2025-03-24,PO-817199,130.6,2.59,128.01,open,sjohnson
BILL-2025000202,VEND-00038,V67275,2025-01-16,2025-02-15,PO-887345,3548.74,2328.15,1220.59,open,rwhite
BILL-2025000203,VEND-00037,V61806,2025-02-17,2025-04-18,PO-420514,280.7,280.7,0.0,paid,kpatel
BILL-2025000204,VEND-00036,V77991,2025-11-06,2025-12-06,PO-233850,565.82,565.82,0.0,paid,kpatel
BILL-2025000205,VEND-00002,V67431,2025-07-09,2025-08-23,PO-146466,1263.22,1263.22,0.0,paid,rwhite
BILL-2025000206,VEND-00024,V51823,2025-01-11,2025-02-25,PO-697605,645.48,645.48,0.0,paid,mlopez
BILL-2025000207,VEND-00034,V87650,2025-02-16,2025-04-17,PO-759026,471.77,471.77,0.0,paid,sjohnson
BILL-2025000208,VEND-00003,V87735,2025-08-10,2025-09-24,PO-225524,1403.19,1205.78,197.41,open,kpatel
BILL-2025000209,VEND-00015,V15799,2025-11-02,2025-12-17,PO-355295,2369.16,2369.16,0.0,paid,mlopez
BILL-2025000210,VEND-00018,V79767,2025-05-27,2025-06-26,PO-800664,217.04,217.04,0.0,paid,sjohnson
BILL-2025000211,VEND-00029,V18931,2025-06-05,2025-07-20,PO-781042,722.31,722.31,0.0,paid,rwhite
BILL-2025000212,VEND-00015,V55523,2025-03-24,2025-04-23,,2029.36,2029.36,0.0,paid,mlopez
BILL-2025000213,VEND-00018,V64003,2025-10-21,2025-12-20,PO-857784,155.43,111.26,44.17,open,sjohnson
BILL-2025000214,VEND-00034,V73648,2025-11-13,2026-01-12,PO-693869,391.83,391.83,0.0,paid,sjohnson
BILL-2025000215,VEND-00014,V16352,2025-02-04,2025-03-21,PO-727768,381.29,192.25,189.04,open,rwhite
BILL-2025000216,VEND-00013,V82779,2025-09-06,2025-10-06,PO-551450,240.74,240.74,0.0,paid,kpatel
BILL-2025000217,VEND-00034,V44465,2025-04-06,2025-05-21,PO-425862,760.55,760.55,0.0,paid,rwhite
BILL-2025000218,VEND-00026,V81826,2025-05-16,2025-06-15,PO-235352,1734.17,1734.17,0.0,paid,kpatel
BILL-2025000219,VEND-00005,V37770,2025-12-24,2026-02-07,PO-395308,1396.39,1342.91,53.48,open,mlopez
BILL-2025000220,VEND-00024,V16641,2025-02-07,2025-04-08,PO-153088,777.24,777.24,0.0,paid,sjohnson
BILL-2025000221,VEND-00015,V20444,2025-03-09,2025-05-08,PO-592245,471.13,471.13,0.0,paid,kpatel
BILL-2025000222,VEND-00029,V75347,2025-04-30,2025-05-30,PO-380093,94.31,54.6,39.71,open,rwhite
BILL-2025000223,VEND-00004,V32594,2025-07-05,2025-08-19,PO-603509,3932.14,3932.14,0.0,paid,sjohnson
BILL-2025000224,VEND-00017,V25966,2025-03-30,2025-05-14,PO-285192,3467.18,3467.18,0.0,paid,kpatel
BILL-2025000225,VEND-00019,V41000,2025-10-17,2025-12-16,PO-969225,6953.14,4773.57,2179.57,open,sjohnson
BILL-2025000226,VEND-00024,V76070,2025-04-12,2025-05-27,PO-557050,603.58,603.58,0.0,paid,kpatel
BILL-2025000227,VEND-00034,V81150,2025-02-22,2025-04-23,PO-214295,382.01,382.01,0.0,paid,sjohnson
BILL-2025000228,VEND-00012,V40362,2025-08-30,2025-09-29,PO-221555,1000.07,1000.07,0.0,paid,kpatel
BILL-2025000229,VEND-00015,V63835,2025-11-06,2025-12-21,PO-459889,190.73,115.57,75.16,open,rwhite
BILL-2025000230,VEND-00035,V40635,2025-07-05,2025-08-04,PO-724878,630.93,630.93,0.0,paid,kpatel
BILL-2025000231,VEND-00035,V88281,2025-07-29,2025-08-28,PO-945616,1745.09,1745.09,0.0,paid,sjohnson
