bom_id,parent_sku,component_sku,qty_per_parent,effective_date
BOM-000046,SKU-000342,SKU-000547,5.27,2023-06-12
BOM-000047,SKU-000172,SKU-000183,0.79,2024-05-03
BOM-000048,SKU-000191,SKU-000065,6.97,2023-04-08
BOM-000049,SKU-000581,SKU-000359,5.41,2024-08-20
BOM-000050,SKU-000447,SKU-000039,7.37,2023-01-23
BOM-000051,SKU-000100,SKU-000173,8.68,2025-02-21
BOM-000052,SKU-000490,SKU-000434,3.87,2023-05-01
BOM-000053,SKU-000048,SKU-000300,7.11,2023-04-12
BOM-000054,SKU-000445,SKU-000578,5.16,2023-07-06
BOM-000055,SKU-000196,SKU-000385,7.76,2023-12-11
BOM-000056,SKU-000591,SKU-000566,9.59,2024-07-26
BOM-000057,SKU-000436,SKU-000520,6.59,2025-02-28
BOM-000058,SKU-000283,SKU-000269,8.51,2024-07-02
BOM-000059,SKU-000255,SKU-000523,0.88,2024-10-06
BOM-000060,SKU-000084,SKU-000152,4.67,2023-08-16
BOM-000061,SKU-000240,SKU-000370,4.31,2025-06-14
BOM-000062,SKU-000143,SKU-000412,5.34,2025-11-22
BOM-000063,SKU-000487,SKU-000542,4.22,2024-10-12
BOM-000064,SKU-000425,SKU-000298,3.81,2023-05-02
BOM-000065,SKU-000020,SKU-000550,7.23,2023-02-15
BOM-000066,SKU-000053,SKU-000346,4.32,2024-01-17
BOM-000067,SKU-000521,SKU-000018,7.28,2023-07-31
BOM-000068,SKU-000078,SKU-000433,6.91,2024-03-31
BOM-000069,SKU-000079,SKU-000522,5.74,2025-01-20
BOM-000070,SKU-000540,SKU-000554,9.96,2025-11-21
BOM-000071,SKU-000276,SKU-000063,2.88,2023-12-17
BOM-000072,SKU-000428,SKU-000227,9.95,2024-08-08
BOM-000073,SKU-000414,SKU-000054,2.99,2023-03-12
BOM-000074,SKU-000297,SKU-000263,1.01,2023-07-20
BOM-000075,SKU-000235,SKU-000172,3.76,2024-11-26
BOM-000076,SKU-000556,SKU-000521,4.02,2024-02-19
BOM-000077,SKU-000171,SKU-000130,5.05,2023-03-15
BOM-000078,SKU-000087,SKU-000505,7.36,2024-06-15
BOM-000079,SKU-000140,SKU-000444,7.04,2023-04-01
BOM-000080,SKU-000235,SKU-000441,6.79,2025-02-02
BOM-000081,SKU-000328,SKU-000134,3.16,2024-01-26
BOM-000082,SKU-000156,SKU-000206,4.28,2025-09-15
BOM-000083,SKU-000061,SKU-000553,8.33,2025-11-14
BOM-000084,SKU-000425,SKU-000415,1.3,2023-09-26
BOM-000085,SKU-000478,SKU-000096,0.56,2024-09-18
BOM-000086,SKU-000233,SKU-000372,5.31,2025-11-03
BOM-000087,SKU-000226,SKU-000243,6.95,2024-07-12
BOM-000088,SKU-000041,SKU-000594,9.57,2023-08-27
BOM-000089,SKU-000227,SKU-000181,6.12,2024-07-30
BOM-000090,SKU-000079,SKU-000466,1.28,2025-10-06
BOM-000091,SKU-000094,SKU-000045,3.73,2023-05-29
BOM-000092,SKU-000237,SKU-000558,4.07,2024-11-19
BOM-000093,SKU-000024,SKU-000438,7.14,2025-04-04
BOM-000094,SKU-000400,SKU-000353,6.09,2023-04-09
BOM-000095,SKU-000576,SKU-000430,9.27,2024-06-23
BOM-000096,SKU-000526,SKU-000069,5.94,2023-12-01
BOM-000097,SKU-000135,SKU-000234,8.89,2024-10-14
BOM-000098,SKU-000349,SKU-000528,2.14,2024-11-20
BOM-000099,SKU-000184,SKU-000032,1.8,2024-09-23
BOM-000100,SKU-000255,SKU-000162,5.33,2025-04-07
BOM-000101,SKU-000147,SKU-000438,1.33,2025-05-06
BOM-000102,SKU-000440,SKU-000265,7.09,2025-06-10
BOM-000103,SKU-000467,SKU-000573,4.74,2023-12-04
BOM-000104,SKU-000158,SKU-000453,2.94,2025-08-10
BOM-000105,SKU-000025,SKU-000568,10.0,2025-07-20
BOM-000106,SKU-000390,SKU-000381,4.75,2025-03-04
BOM-000107,SKU-000011,SKU-000194,7.43,2025-09-30
BOM-000108,SKU-000534,SKU-000066,6.68,2023-01-11
BOM-000109,SKU-000001,SKU-000179,7.11,2025-10-10
BOM-000110,SKU-000138,SKU-000320,1.29,2025-10-04
BOM-000111,SKU-000402,SKU-000024,8.41,2024-03-05
BOM-000112,SKU-000200,SKU-000559,1.06,2025-07-18
BOM-000113,SKU-000501,SKU-000199,8.94,2025-05-06
BOM-000114,SKU-000595,SKU-000369,7.78,2024-11-27
BOM-000115,SKU-000099,SKU-000052,6.22,2024-06-17
BOM-000116,SKU-000454,SKU-000186,2.39,2023-07-14
BOM-000117,SKU-000481,SKU-000271,3.44,2023-08-08
BOM-000118,SKU-000335,SKU-000165,5.45,2024-02-28
BOM-000119,SKU-000177,SKU-000131,5.2,2024-01-01
BOM-000120,SKU-000092,SKU-000370,2.83,2023-06-13
BOM-000121,SKU-000052,SKU-000002,5.72,2025-01-15
BOM-000122,SKU-000078,SKU-000121,8.44,2025-11-24
BOM-000123,SKU-000037,SKU-000108,8.59,2023-12-16
BOM-000124,SKU-000390,SKU-000099,4.6,2023-03-18
BOM-000125,SKU-000226,SKU-000469,3.47,2025-05-30
BOM-000126,SKU-000043,SKU-000354,9.49,2025-04-29
BOM-000127,SKU-000406,SKU-000263,5.51,2024-10-19
BOM-000128,SKU-000239,SKU-000368,4.5,2023-12-24
BOM-000129,SKU-000573,SKU-000590,4.64,2023-11-13
BOM-000130,SKU-000080,SKU-000218,0.72,2023-10-27
BOM-000131,SKU-000361,SKU-000199,8.25,2023-10-06
BOM-000132,SKU-000298,SKU-000324,2.21,2024-05-05
BOM-000133,SKU-000544,SKU-000446,2.49,2023-10-21
BOM-000134,SKU-000146,SKU-000084,6.1,2024-01-26
BOM-000135,SKU-000236,SKU-000495,7.63,2024-11-26
BOM-000136,SKU-000070,SKU-000286,8.25,2025-06-08
BOM-000137,SKU-000555,SKU-000064,5.52,2025-02-02
BOM-000138,SKU-000011,SKU-000445,6.3,2023-09-30
BOM-000139,SKU-000003,SKU-000548,3.27,2023-09-06
BOM-000140,SKU-000495,SKU-000489,2.79,2023-04-07
BOM-000141,SKU-000554,SKU-000443,6.58,2024-02-02
BOM-000142,SKU-000113,SKU-000549,7.45,2024-06-14
BOM-000143,SKU-000139,SKU-000396,6.43,2024-10-09
BOM-000144,SKU-000494,SKU-000184,7.13,2024-11-28
BOM-000145,SKU-000537,SKU-000505,1.67,2025-11-01
BOM-000146,SKU-000091,SKU-000351,3.25,2025-07-05
BOM-000147,SKU-000115,SKU-000043,6.34,2024-12-07
BOM-000148,SKU-000311,SKU-000063,7.29,2025-10-15
BOM-000149,SKU-000573,SKU-000157,8.77,2023-06-18
BOM-000150,SKU-000553,SKU-000564,8.3,2023-07-31
BOM-000151,SKU-000182,SKU-000363,0.69,2025-10-26
BOM-000152,SKU-000010,SKU-000543,5.9,2025-11-13
BOM-000153,SKU-000539,SKU-000503,8.81,2024-10-13
BOM-000154,SKU-000501,SKU-000526,2.75,2023-11-14
BOM-000155,SKU-000090,SKU-000483,4.72,2024-11-15
BOM-000156,SKU-000121,SKU-000018,3.37,2024-10-15
BOM-000157,SKU-000386,SKU-000375,6.65,2025-11-25
BOM-000158,SKU-000178,SKU-000374,9.34,2025-10-05
BOM-000159,SKU-000002,SKU-000188,2.17,2024-09-16
BOM-000160,SKU-000206,SKU-000308,1.18,2023-04-27
BOM-000161,SKU-000363,SKU-000396,3.81,2024-06-13
BOM-000162,SKU-000353,SKU-000011,9.38,2024-05-31
BOM-000163,SKU-000120,SKU-000588,8.42,2023-01-09
BOM-000164,SKU-000069,SKU-000128,5.52,2025-08-13
BOM-000165,SKU-000208,SKU-000036,6.55,2025-08-30
BOM-000166,SKU-000456,SKU-000277,3.44,2024-10-09
BOM-000167,SKU-000396,SKU-000478,0.96,2024-12-23
BOM-000168,SKU-000198,SKU-000335,3.68,2024-12-11
BOM-000169,SKU-000056,SKU-000584,6.01,2025-11-14
BOM-000170,SKU-000020,SKU-000153,8.59,2025-01-03
BOM-000171,SKU-000232,SKU-000449,7.99,2024-07-29
BOM-000172,SKU-000508,SKU-000135,5.07,2025-11-12
BOM-000173,SKU-000358,SKU-000564,9.12,2025-03-17
BOM-000174,SKU-000015,SKU-000278,4.37,2024-11-15
BOM-000175,SKU-000289,SKU-000397,4.26,2024-01-23
BOM-000176,SKU-000307,SKU-000257,6.69,2024-02-15
BOM-000177,SKU-000323,SKU-000447,4.84,2023-06-04
BOM-000178,SKU-000040,SKU-000100,2.09,2023-09-02
BOM-000179,SKU-000216,SKU-000157,4.65,2023-07-21
BOM-000180,SKU-000012,SKU-000228,4.09,2024-10-07
BOM-000181,SKU-000497,SKU-000175,9.14,2025-10-22
BOM-000182,SKU-000148,SKU-000173,7.57,2025-11-11
BOM-000183,SKU-000510,SKU-000378,4.26,2025-03-13
BOM-000184,SKU-000204,SKU-000278,9.34,2025-12-02
BOM-000185,SKU-000151,SKU-000372,9.47,2025-05-21
BOM-000186,SKU-000334,SKU-000591,3.44,2024-04-16
BOM-000187,SKU-000108,SKU-000016,7.73,2024-08-26
BOM-000188,SKU-000433,SKU-000053,0.52,2024-12-28
BOM-000189,SKU-000084,SKU-000128,8.56,2023-12-20
BOM-000190,SKU-000285,SKU-000077,2.6,2024-04-19
BOM-000191,SKU-000528,SKU-000190,7.94,2023-10-13
BOM-000192,SKU-000563,SKU-000506,8.58,2024-01-19
BOM-000193,SKU-000159,SKU-000175,4.6,2024-04-11
BOM-000194,SKU-000332,SKU-000210,6.56,2023-09-06
BOM-000195,SKU-000399,SKU-000506,3.27,2025-10-01
BOM-000196,SKU-000466,SKU-000317,7.06,2025-06-13
BOM-000197,SKU-000225,SKU-000036,2.38,2024-06-29
BOM-000198,SKU-000019,SKU-000223,7.9,2023-11-25
BOM-000199,SKU-000287,SKU-000051,1.12,2025-11-03
BOM-000200,SKU-000036,SKU-000597,1.06,2024-08-16
BOM-000201,SKU-000540,SKU-000163,2.44,2024-05-24
BOM-000202,SKU-000054,SKU-000416,3.4,2023-09-29
BOM-000203,SKU-000505,SKU-000419,9.76,2025-02-23
BOM-000204,SKU-000450,SKU-000085,2.19,2025-03-06
BOM-000205,SKU-000157,SKU-000254,8.25,2025-05-09
BOM-000206,SKU-000557,SKU-000478,6.59,2024-05-12
BOM-000207,SKU-000288,SKU-000270,4.86,2024-01-25
BOM-000208,SKU-000240,SKU-000041,7.54,2024-06-23
BOM-000209,SKU-000509,SKU-000208,9.63,2025-06-05
BOM-000210,SKU-000344,SKU-000057,0.98,2024-01-18
BOM-000211,SKU-000247,SKU-000337,5.79,2025-07-17
BOM-000212,SKU-000542,SKU-000177,7.55,2025-08-10
BOM-000213,SKU-000179,SKU-000194,8.29,2024-05-09
BOM-000214,SKU-000459,SKU-000351,3.07,2024-09-15
BOM-000215,SKU-000136,SKU-000403,5.08,2023-02-09
BOM-000216,SKU-000030,SKU-000354,8.23,2025-12-12
BOM-000217,SKU-000227,SKU-000060,4.46,2025-02-09
BOM-000218,SKU-000575,SKU-000503,2.63,2023-10-30
BOM-000219,SKU-000051,SKU-000504,1.67,2024-10-09
BOM-000220,SKU-000560,SKU-000451,4.08,2025-09-01
BOM-000221,SKU-000056,SKU-000143,2.05,2025-10-16
BOM-000222,SKU-000387,SKU-000343,2.16,2025-08-29
BOM-000223,SKU-000300,SKU-000112,5.96,2025-05-09
BOM-000224,SKU-000307,SKU-000074,8.57,2025-06-16
BOM-000225,SKU-000581,SKU-000402,7.19,2025-11-19
BOM-000226,SKU-000026,SKU-000091,0.85,2023-08-25
BOM-000227,SKU-000023,SKU-000227,7.52,2023-06-22
BOM-000228,SKU-000546,SKU-000179,3.47,2024-01-07
BOM-000229,SKU-000479,SKU-000075,5.82,2024-06-01
BOM-000230,SKU-000471,SKU-000026,9.54,2023-03-17
BOM-000231,SKU-000497,SKU-000597,6.58,2024-06-02
BOM-000232,SKU-000087,SKU-000351,5.29,2025-08-30
BOM-000233,SKU-000281,SKU-000021,9.71,2025-12-22
BOM-000234,SKU-000347,SKU-000222,1.03,2024-02-12
BOM-000235,SKU-000458,SKU-000077,4.75,2024-09-13
BOM-000236,SKU-000266,SKU-000591,7.4,2024-04-13
BOM-000237,SKU-000509,SKU-000125,4.69,2024-04-21
BOM-000238,SKU-000137,SKU-000465,5.47,2024-12-01
BOM-000239,SKU-000121,SKU-000211,3.66,2024-01-26
BOM-000240,SKU-000285,SKU-000135,8.32,2023-09-16
BOM-000241,SKU-000197,SKU-000075,6.98,2023-04-20
BOM-000242,SKU-000350,SKU-000459,4.6,2025-02-21
BOM-000243,SKU-000354,SKU-000195,5.69,2024-10-12
BOM-000244,SKU-000073,SKU-000233,5.88,2023-01-28
BOM-000245,SKU-000425,SKU-000299,8.67,2025-01-11
BOM-000246,SKU-000204,SKU-000507,8.7,2023-09-27
BOM-000247,SKU-000102,SKU-000170,5.88,2023-04-21
BOM-000248,SKU-000299,SKU-000536,2.23,2025-06-11
BOM-000249,SKU-000067,SKU-000374,6.53,2025-03-18
BOM-000250,SKU-000468,SKU-000285,1.34,2025-10-14
BOM-000251,SKU-000579,SKU-000027,9.91,2023-07-17
BOM-000252,SKU-000514,SKU-000536,6.31,2025-09-05
BOM-000253,SKU-000467,SKU-000403,4.8,2024-09-21
BOM-000254,SKU-000311,SKU-000507,1.26,2024-02-14
BOM-000255,SKU-000171,SKU-000001,8.2,2023-02-08
BOM-000256,SKU-000442,SKU-000351,7.54,2023-02-06
BOM-000257,SKU-000513,SKU-000447,3.78,2025-09-17
BOM-000258,SKU-000118,SKU-000101,9.73,2024-01-12
BOM-000259,SKU-000358,SKU-000172,4.72,2024-09-25
BOM-000260,SKU-000251,SKU-000366,2.19,2024-12-20
BOM-000261,SKU-000325,SKU-000419,9.85,2025-01-27
BOM-000262,SKU-000556,SKU-000139,4.04,2025-11-21
BOM-000263,SKU-000564,SKU-000561,7.47,2024-09-26
BOM-000264,SKU-000280,SKU-000130,7.46,2024-09-22
BOM-000265,SKU-000553,SKU-000535,6.17,2024-01-01
BOM-000266,SKU-000441,SKU-000584,7.45,2025-03-17
BOM-000267,SKU-000063,SKU-000042,3.48,2025-03-19
BOM-000268,SKU-000282,SKU-000495,6.39,2025-01-22
BOM-000269,SKU-000024,SKU-000163,6.45,2023-03-11
BOM-000270,SKU-000317,SKU-000422,7.95,2023-11-19
BOM-000271,SKU-000450,SKU-000385,7.44,2024-10-07
BOM-000272,SKU-000554,SKU-000253,8.75,2023-07-26
BOM-000273,SKU-000136,SKU-000281,5.25,2025-09-08
BOM-000274,SKU-000247,SKU-000100,3.47,2023-05-16
BOM-000275,SKU-000398,SKU-000541,5.76,2024-04-04
BOM-000276,SKU-000379,SKU-000229,3.18,2023-08-09
BOM-000277,SKU-000464,SKU-000464,1.49,2025-08-17
BOM-000278,SKU-000406,SKU-000340,7.42,2023-01-18
BOM-000279,SKU-000367,SKU-000103,5.73,2023-01-30
BOM-000280,SKU-000292,SKU-000507,1.72,2024-03-19
BOM-000281,SKU-000432,SKU-000558,6.7,2024-11-05
BOM-000282,SKU-000142,SKU-000002,5.66,2025-08-17
BOM-000283,SKU-000056,SKU-000459,0.79,2024-08-24
BOM-000284,SKU-000490,SKU-000182,8.37,2023-04-17
BOM-000285,SKU-000321,SKU-000487,5.49,2023-02-02
BOM-000286,SKU-000151,SKU-000091,9.11,2025-05-19
BOM-000287,SKU-000578,SKU-000019,1.1,2024-06-21
BOM-000288,SKU-000051,SKU-000463,7.44,2025-04-28
BOM-000289,SKU-000589,SKU-000541,1.21,2025-08-06
BOM-000290,SKU-000438,SKU-000501,9.27,2025-08-08
BOM-000291,SKU-000283,SKU-000516,2.61,2024-11-05
BOM-000292,SKU-000198,SKU-000071,7.33,2024-10-08
BOM-000293,SKU-000472,SKU-000081,3.93,2025-11-04
BOM-000294,SKU-000046,SKU-000070,2.18,2024-02-25
BOM-000295,SKU-000237,SKU-000456,8.53,2024-03-31
BOM-000296,SKU-000119,SKU-000374,4.85,2024-07-19
BOM-000297,SKU-000022,SKU-000363,1.02,2025-01-05
BOM-000298,SKU-000023,SKU-000067,6.39,2024-05-02
BOM-000299,SKU-000092,SKU-000159,8.5,2024-02-19
BOM-000300,SKU-000149,SKU-000325,6.86,2025-12-02
BOM-000301,SKU-000393,SKU-000149,4.87,2024-09-28
BOM-000302,SKU-000210,SKU-000152,1.31,2023-04-13
BOM-000303,SKU-000312,SKU-000161,9.84,2023-11-08
BOM-000304,SKU-000391,SKU-000324,2.6,2025-11-19
BOM-000305,SKU-000326,SKU-000279,2.1,2025-08-07
BOM-000306,SKU-000330,SKU-000402,9.22,2025-02-12
BOM-000307,SKU-000298,SKU-000207,0.7,2025-01-25
BOM-000308,SKU-000243,SKU-000548,5.78,2023-01-11
BOM-000309,SKU-000164,SKU-000159,9.2,2024-04-19
BOM-000310,SKU-000159,SKU-000447,2.75,2023-10-22
BOM-000311,SKU-000383,SKU-000545,1.92,2023-03-11
BOM-000312,SKU-000433,SKU-000540,1.94,2025-12-27
BOM-000313,SKU-000298,SKU-000041,7.68,2023-03-04
BOM-000314,SKU-000082,SKU-000180,5.09,2023-10-04
BOM-000315,SKU-000311,SKU-000579,6.71,2024-10-11
BOM-000316,SKU-000404,SKU-000144,8.71,2023-03-06
BOM-000317,SKU-000422,SKU-000212,6.5,2025-06-02
BOM-000318,SKU-000024,SKU-000152,3.58,2023-11-06
BOM-000319,SKU-000549,SKU-000078,8.34,2025-02-13
BOM-000320,SKU-000579,SKU-000347,8.76,2024-07-30
BOM-000321,SKU-000494,SKU-000561,7.33,2024-12-22
BOM-000322,SKU-000594,SKU-000492,7.56,2024-09-30
BOM-000323,SKU-000455,SKU-000170,8.88,2023-04-04
BOM-000324,SKU-000147,SKU-000515,5.2,2023-12-24
BOM-000325,SKU-000077,SKU-000144,2.83,2025-01-09
BOM-000326,SKU-000330,SKU-000553,4.76,2025-09-15
BOM-000327,SKU-000287,SKU-000005,3.84,2023-05-29
BOM-000328,SKU-000292,SKU-000325,9.35,2023-03-07
BOM-000329,SKU-000378,SKU-000051,7.2,2025-11-21
BOM-000330,SKU-000283,SKU-000243,3.18,2024-12-12
BOM-000331,SKU-000286,SKU-000266,3.19,2025-09-02
BOM-000332,SKU-000517,SKU-000253,4.02,2024-03-23
BOM-000333,SKU-000179,SKU-000019,8.22,2024-08-19
BOM-000334,SKU-000451,SKU-000144,4.04,2025-01-28
BOM-000335,SKU-000112,SKU-000401,7.97,2024-07-25
BOM-000336,SKU-000558,SKU-000142,4.97,2024-03-18
BOM-000337,SKU-000566,SKU-000446,7.48,2025-06-29
BOM-000338,SKU-000456,SKU-000454,5.69,2025-08-16
BOM-000339,SKU-000253,SKU-000157,5.45,2025-09-07
BOM-000340,SKU-000334,SKU-000009,4.67,2024-06-19
BOM-000341,SKU-000404,SKU-000466,3.48,2024-02-17
BOM-000342,SKU-000133,SKU-000371,4.44,2023-07-12
BOM-000343,SKU-000279,SKU-000563,2.43,2024-09-14
BOM-000344,SKU-000323,SKU-000271,1.12,2025-12-15
BOM-000345,SKU-000334,SKU-000492,8.98,2023-01-30
BOM-000346,SKU-000517,SKU-000585,2.02,2023-04-08
BOM-000347,SKU-000261,SKU-000584,0.64,2023-11-14
BOM-000348,SKU-000461,SKU-000326,4.82,2024-08-09
BOM-000349,SKU-000198,SKU-000319,0.68,2025-10-14
BOM-000350,SKU-000080,SKU-000116,6.4,2024-03-01
BOM-000351,SKU-000255,SKU-000182,3.26,2025-08-02
BOM-000352,SKU-000130,SKU-000516,7.0,2023-06-28
BOM-000353,SKU-000531,SKU-000334,6.09,2024-01-11
BOM-000354,SKU-000174,SKU-000234,8.58,2024-04-06
BOM-000355,SKU-000238,SKU-000241,6.08,2023-01-16
BOM-000356,SKU-000168,SKU-000037,3.93,2023-10-07
BOM-000357,SKU-000366,SKU-000044,8.9,2024-12-23
BOM-000358,SKU-000315,SKU-000327,8.44,2025-01-17
BOM-000359,SKU-000508,SKU-000202,0.96,2023-01-26
BOM-000360,SKU-000115,SKU-000470,9.18,2024-07-28
BOM-000361,SKU-000473,SKU-000314,9.89,2023-01-31
BOM-000362,SKU-000583,SKU-000466,1.75,2024-08-21
BOM-000363,SKU-000187,SKU-000315,2.89,2023-07-14
BOM-000364,SKU-000546,SKU-000101,0.74,2023-11-28
BOM-000365,SKU-000356,SKU-000335,7.79,2023-06-09
BOM-000366,SKU-000516,SKU-000357,7.81,2023-12-09
BOM-000367,SKU-000159,SKU-000047,0.61,2025-07-31
BOM-000368,SKU-000403,SKU-000576,7.47,2024-12-20
BOM-000369,SKU-000267,SKU-000374,1.75,2024-05-10
BOM-000370,SKU-000017,SKU-000243,6.47,2023-03-23
BOM-000371,SKU-000059,SKU-000273,6.87,2025-02-04
BOM-000372,SKU-000389,SKU-000104,7.11,2025-01-28
BOM-000373,SKU-000167,SKU-000502,1.6,2024-05-01
BOM-000374,SKU-000116,SKU-000302,5.67,2024-02-27
BOM-000375,SKU-000368,SKU-000070,3.02,2024-12-26
BOM-000376,SKU-000571,SKU-000063,5.16,2023-07-23
BOM-000377,SKU-000389,SKU-000529,8.25,2023-06-10
BOM-000378,SKU-000450,SKU-000472,7.48,2023-06-18
BOM-000379,SKU-000140,SKU-000008,1.4,2023-04-24
BOM-000380,SKU-000465,SKU-000318,7.42,2023-05-10
BOM-000381,SKU-000069,SKU-000180,1.04,2024-05-29
BOM-000382,SKU-000177,SKU-000350,2.98,2023-07-09
BOM-000383,SKU-000294,SKU-000027,8.22,2024-02-23
BOM-000384,SKU-000242,SKU-000445,6.19,2025-01-04
BOM-000385,SKU-000580,SKU-000278,0.75,2025-12-19
BOM-000386,SKU-000123,SKU-000395,8.23,2025-12-12
BOM-000387,SKU-000057,SKU-000485,8.22,2024-03-18
BOM-000388,SKU-000395,SKU-000083,0.57,2025-02-22
BOM-000389,SKU-000258,SKU-000269,2.38,2023-07-30
BOM-000390,SKU-000003,SKU-000223,8.81,2023-05-14
BOM-000391,SKU-000289,SKU-000517,7.26,2025-08-23
BOM-000392,SKU-000371,SKU-000497,6.85,2025-05-27
BOM-000393,SKU-000085,SKU-000256,5.09,2025-08-01
BOM-000394,SKU-000486,SKU-000487,3.9,2025-11-20
BOM-000395,SKU-000445,SKU-000101,7.81,2023-06-03
BOM-000396,SKU-000172,SKU-000343,6.04,2023-07-01
BOM-000397,SKU-000069,SKU-000446,8.37,2025-12-12
BOM-000398,SKU-000521,SKU-000253,2.43,2023-08-23
BOM-000399,SKU-000418,SKU-000012,7.91,2025-08-17
BOM-000400,SKU-000246,SKU-000169,4.89,2025-09-26
BOM-000401,SKU-000315,SKU-000211,8.39,2023-10-07
BOM-000402,SKU-000057,SKU-000445,8.9,2024-03-26
BOM-000403,SKU-000411,SKU-000398,1.53,2023-03-31
BOM-000404,SKU-000048,SKU-000488,9.38,2023-01-05
BOM-000405,SKU-000231,SKU-000068,7.23,2025-02-06
BOM-000406,SKU-000324,SKU-000038,6.3,2025-01-05
BOM-000407,SKU-000273,SKU-000573,9.81,2023-01-01
BOM-000408,SKU-000177,SKU-000554,0.7,2024-10-14
BOM-000409,SKU-000070,SKU-000133,0.86,2024-12-05
BOM-000410,SKU-000151,SKU-000282,2.47,2025-06-21
BOM-000411,SKU-000082,SKU-000002,2.73,2024-04-23
BOM-000412,SKU-000090,SKU-000238,2.25,2025-07-23
BOM-000413,SKU-000168,SKU-000124,3.27,2023-05-05
BOM-000414,SKU-000022,SKU-000595,0.7,2024-01-08
BOM-000415,SKU-000552,SKU-000466,5.08,2023-05-27
BOM-000416,SKU-000257,SKU-000502,6.81,2024-06-17
BOM-000417,SKU-000096,SKU-000137,8.76,2024-08-16
BOM-000418,SKU-000245,SKU-000263,9.92,2025-10-29
BOM-000419,SKU-000490,SKU-000424,3.03,2023-03-25
BOM-000420,SKU-000132,SKU-000215,2.32,2023-06-23
BOM-000421,SKU-000483,SKU-000296,2.91,2025-03-08
BOM-000422,SKU-000129,SKU-000590,5.94,2023-01-10
BOM-000423,SKU-000261,SKU-000232,2.58,2023-03-19
BOM-000424,SKU-000198,SKU-000170,9.78,2023-08-09
BOM-000425,SKU-000133,SKU-000219,3.89,2023-11-21
BOM-000426,SKU-000476,SKU-000547,1.62,2024-05-18
BOM-000427,SKU-000304,SKU-000556,7.72,2024-06-13
BOM-000428,SKU-000122,SKU-000001,4.8,2024-09-29
BOM-000429,SKU-000033,SKU-000091,4.37,2024-02-17
BOM-000430,SKU-000599,SKU-000043,0.83,2024-06-25
BOM-000431,SKU-000045,SKU-000027,8.78,2025-09-01
BOM-000432,SKU-000271,SKU-000599,9.76,2024-05-21
BOM-000433,SKU-000139,SKU-000143,5.33,2023-06-24
BOM-000434,SKU-000326,SKU-000590,5.63,2023-11-13
BOM-000435,SKU-000127,SKU-000443,4.16,2023-04-15
