work_order_id,product_sku,qty_planned,qty_produced,start_date,completion_date,standard_cost_per_unit,actual_cost_per_unit,status
WO-000045,SKU-000012,3075,2593,2025-11-22,2025-11-07,39.72,9.82,COMPLETE
WO-000046,SKU-000006,1530,389,2025-04-09,2025-04-17,5.55,34.17,OPEN
WO-000047,SKU-000019,4728,1333,2025-04-25,2025-06-05,7.99,9.21,WIP
WO-000048,SKU-000094,2662,704,2025-12-02,2025-09-08,26.77,22.67,CLOSED
WO-000049,SKU-000007,4761,1156,2025-02-26,2025-12-16,10.74,10.94,WIP
WO-000050,SKU-000076,3794,39,2025-09-15,2025-02-09,8.98,24.28,WIP
WO-000051,SKU-000106,1843,1267,2025-03-11,2025-09-07,14.35,4.17,CLOSED
WO-000052,SKU-000060,4533,2234,2025-01-01,2025-05-06,9.08,14.53,COMPLETE
WO-000053,SKU-000058,3777,4201,2025-09-22,2025-08-11,6.51,8.33,WIP
WO-000054,SKU-000049,1800,485,2025-12-27,2025-08-31,8.4,6.84,OPEN
WO-000055,SKU-000017,792,1837,2025-08-10,2025-11-11,17.15,12.31,CLOSED
WO-000056,SKU-000034,4455,17,2025-04-23,2025-11-12,8.15,14.12,OPEN
WO-000057,SKU-000003,1387,1202,2025-09-08,2025-10-04,9.75,12.53,OPEN
WO-000058,SKU-000105,1122,1900,2025-04-09,2025-04-17,20.03,18.96,COMPLETE
WO-000059,SKU-000067,2410,411,2025-12-15,2025-05-07,13.85,48.29,WIP
WO-000060,SKU-000053,3608,400,2025-02-23,2025-06-03,3.05,22.51,OPEN
