sku,description,category,unit_cost,on_hand_qty,reorder_point,last_received_date
SKU-000032,Hardware item 32,License,5.24,452,70,2025-11-23
SKU-000033,License item 33,Hardware,12.7,0,12,2025-04-20
SKU-000034,Swag item 34,License,11.83,176,84,2025-03-02
SKU-000035,Hardware item 35,License,33.43,499,81,2025-03-26
SKU-000036,Swag item 36,Swag,16.68,314,39,2025-09-01
SKU-000037,Swag item 37,License,32.31,58,29,2025-01-18
SKU-000038,Swag item 38,Swag,52.99,380,71,2025-08-29
SKU-000039,Swag item 39,Hardware,31.23,305,42,2025-03-12
SKU-000040,Swag item 40,License,36.02,209,67,2025-01-19
SKU-000041,Swag item 41,License,15.33,152,62,2025-12-25
SKU-000042,Swag item 42,Swag,21.2,227,33,2025-11-22
SKU-000043,Hardware item 43,Swag,7.53,78,88,2025-11-10
SKU-000044,License item 44,Hardware,4.87,235,70,2025-10-09
SKU-000045,Hardware item 45,Hardware,15.95,242,80,2025-10-04
SKU-000046,Hardware item 46,License,37.28,115,82,2025-07-15
SKU-000047,Hardware item 47,License,22.04,447,10,2025-04-29
SKU-000048,License item 48,Hardware,3.05,334,40,2025-04-04
SKU-000049,Hardware item 49,License,51.58,414,69,2025-01-16
SKU-000050,License item 50,Swag,30.97,29,26,2025-07-09
SKU-000051,Swag item 51,Swag,23.86,36,45,2025-07-28
SKU-000052,License item 52,License,16.53,311,65,2025-08-02
SKU-000053,Hardware item 53,License,6.65,32,41,2025-07-30
SKU-000054,Swag item 54,Swag,3.24,290,50,2025-07-30
SKU-000055,License item 55,Hardware,21.85,216,84,2025-07-12
SKU-000056,License item 56,Hardware,23.45,59,57,2025-04-10
SKU-000057,Hardware item 57,License,59.29,430,95,2025-05-29
SKU-000058,License item 58,Hardware,24.96,258,20,2025-05-23
SKU-000059,Swag item 59,Swag,17.89,208,59,2025-02-17
SKU-000060,Swag item 60,Hardware,10.86,481,96,2025-04-21
SKU-000061,License item 61,License,6.68,488,77,2025-03-25
SKU-000062,Hardware item 62,Hardware,31.01,429,81,2025-01-19
SKU-000063,Hardware item 63,License,31.22,429,56,2025-10-30
SKU-000064,Hardware item 64,Hardware,13.45,171,32,2025-08-23
SKU-000065,Swag item 65,License,21.77,110,81,2025-10-07
SKU-000066,License item 66,License,21.82,312,39,2025-06-24
SKU-000067,License item 67,Hardware,22.13,181,87,2025-07-11
SKU-000068,License item 68,Swag,12.89,411,96,2025-11-12
SKU-000069,Hardware item 69,Swag,95.88,447,88,2025-04-07
SKU-000070,License item 70,License,12.87,248,44,2025-10-26
SKU-000071,License item 71,Hardware,21.54,86,68,2025-09-22
SKU-000072,Swag item 72,Hardware,29.27,222,60,2025-10-11
SKU-000073,License item 73,Swag,26.34,304,57,2025-12-03
SKU-000074,License item 74,License,31.28,13,72,2025-12-03
SKU-000075,Swag item 75,Hardware,6.18,400,67,2025-01-11
SKU-000076,Swag item 76,License,6.24,145,99,2025-02-09
SKU-000077,Hardware item 77,Swag,11.7,212,19,2025-09-30
SKU-000078,Hardware item 78,Swag,7.42,420,27,2025-01-25
SKU-000079,License item 79,License,3.34,437,63,2025-01-09
SKU-000080,Hardware item 80,Swag,73.32,296,69,2025-07-19
SKU-000081,Swag item 81,Swag,18.9,145,71,2025-08-13
SKU-000082,License item 82,License,5.6,169,84,2025-01-03
SKU-000083,License item 83,Swag,14.16,499,95,2025-11-06
SKU-000084,Swag item 84,Hardware,17.02,293,19,2025-11-13
SKU-000085,Hardware item 85,Swag,5.3,67,85,2025-08-28
SKU-000086,Swag item 86,Hardware,13.55,149,76,2025-11-04
SKU-000087,Hardware item 87,Swag,17.87,435,53,2025-07-20
SKU-000088,Hardware item 88,License,15.91,136,16,2025-12-19
SKU-000089,License item 89,License,30.79,122,47,2025-08-03
SKU-000090,Swag item 90,License,48.65,287,52,2025-12-22
SKU-000091,Hardware item 91,Swag,8.44,30,97,2025-09-09
SKU-000092,Swag item 92,License,5.27,133,11,2025-07-20
SKU-000093,Hardware item 93,Swag,9.1,85,57,2025-06-17
SKU-000094,License item 94,Swag,14.82,114,88,2025-07-02
SKU-000095,Swag item 95,Hardware,16.24,8,57,2025-12-15
SKU-000096,License item 96,Hardware,8.54,431,88,2025-01-12
SKU-000097,Swag item 97,Hardware,3.16,478,13,2025-01-09
SKU-000098,Hardware item 98,License,18.81,247,65,2025-02-06
SKU-000099,License item 99,Swag,13.87,318,46,2025-03-06
SKU-000100,License item 100,Swag,88.58,474,93,2025-05-24
SKU-000101,Hardware item 101,Hardware,12.4,355,75,2025-11-16
SKU-000102,License item 102,License,5.32,307,29,2025-11-03
SKU-000103,License item 103,Swag,10.46,87,72,2025-09-22
SKU-000104,License item 104,License,25.36,158,78,2025-04-04
SKU-000105,Hardware item 105,Swag,5.64,218,78,2025-11-08
SKU-000106,License item 106,Hardware,6.34,288,62,2025-12-15
SKU-000107,Hardware item 107,Swag,13.16,39,47,2025-06-25
SKU-000108,Hardware item 108,License,37.37,61,34,2025-07-28
SKU-000109,Hardware item 109,License,33.18,22,51,2025-06-25
SKU-000110,Swag item 110,Hardware,19.06,230,59,2025-03-25
SKU-000111,License item 111,Hardware,9.72,105,99,2025-10-30
SKU-000112,Hardware item 112,Hardware,15.94,366,57,2025-12-28
SKU-000113,Hardware item 113,License,4.08,106,30,2025-11-30
SKU-000114,Swag item 114,Swag,13.58,62,73,2025-08-06
SKU-000115,Swag item 115,Hardware,44.98,123,68,2025-06-19
SKU-000116,Swag item 116,License,16.14,399,28,2025-04-17
SKU-000117,Swag item 117,Hardware,30.23,338,24,2025-11-02
SKU-000118,Hardware item 118,Swag,11.89,162,88,2025-03-22
SKU-000119,Hardware item 119,Swag,28.1,203,96,2025-03-22
SKU-000120,Hardware item 120,License,15.74,65,38,2025-06-27
