subscription_id,customer_id,start_date,end_date,term_months,mrr,arr,plan,status
SUB-000040,CUST-00061,2024-09-04,2027-08-20,36,95.8,1149.6,STARTER,active
SUB-000041,CUST-00037,2022-10-16,2022-11-15,1,254.09,3049.08,ENTERPRISE,expired
SUB-000042,CUST-00009,2023-04-30,2025-04-19,24,138.17,1658.04,ENTERPRISE,expired
SUB-000043,CUST-00033,2022-08-12,2023-08-07,12,338.81,4065.72,ENTERPRISE,expired
SUB-000044,CUST-00025,2024-10-03,2026-09-23,24,3314.87,39778.44,ENTERPRISE,active
SUB-000045,CUST-00008,2025-11-08,2026-11-03,12,522.87,6274.44,STARTER,active
SUB-000046,CUST-00058,2025-03-09,2028-02-22,36,104.88,1258.56,ENTERPRISE,active
SUB-000047,CUST-00008,2025-01-25,2028-01-10,36,214.16,2569.92,PRO,active
SUB-000048,CUST-00074,2023-05-24,2026-05-08,36,53.49,641.88,ENTERPRISE,active
SUB-000049,CUST-00068,2024-05-01,2027-04-16,36,260.92,3131.04,PRO,active
SUB-000050,CUST-00021,2022-11-25,2022-12-25,1,153.07,1836.84,ENTERPRISE,expired
SUB-000051,CUST-00001,2023-01-18,2025-01-07,24,602.61,7231.32,ENTERPRISE,expired
SUB-000052,CUST-00055,2022-08-02,2023-07-28,12,151.02,1812.24,STARTER,expired
SUB-000053,CUST-00051,2022-03-09,2024-02-27,24,264.16,3169.92,PRO,expired
SUB-000054,CUST-00019,2023-12-29,2025-12-18,24,77.98,935.76,PRO,expired
SUB-000055,CUST-00007,2025-07-30,2027-07-20,24,329.45,3953.4,PRO,active
SUB-000056,CUST-00070,2024-09-24,2026-09-14,24,172.98,2075.76,PRO,active
SUB-000057,CUST-00029,2023-12-07,2025-11-26,24,234.72,2816.64,PRO,expired
SUB-000058,CUST-00055,2024-02-27,2024-03-28,1,112.95,1355.4,PRO,expired
SUB-000059,CUST-00044,2023-04-17,2025-04-06,24,186.16,2233.92,PRO,expired
SUB-000060,CUST-00070,2023-11-26,2026-11-10,36,90.98,1091.76,STARTER,active
SUB-000061,CUST-00045,2024-01-29,2026-01-18,24,6233.17,74798.04,STARTER,active
SUB-000062,CUST-00052,2023-07-07,2026-06-21,36,317.47,3809.64,ENTERPRISE,active
SUB-000063,CUST-00006,2022-04-26,2024-04-15,24,227.48,2729.76,ENTERPRISE,expired
SUB-000064,CUST-00063,2025-07-01,2027-06-21,24,119.72,1436.64,STARTER,active
SUB-000065,CUST-00034,2022-09-13,2024-09-02,24,122.89,1474.68,PRO,expired
SUB-000066,CUST-00028,2022-10-28,2024-10-17,24,293.42,3521.04,PRO,expired
SUB-000067,CUST-00055,2022-11-27,2023-11-22,12,42.9,514.8,STARTER,expired
SUB-000068,CUST-00057,2022-06-28,2024-06-17,24,522.97,6275.64,ENTERPRISE,expired
SUB-000069,CUST-00043,2022-01-14,2024-12-29,36,421.48,5057.76,ENTERPRISE,expired
SUB-000070,CUST-00077,2024-09-16,2024-10-16,1,793.93,9527.16,PRO,expired
SUB-000071,CUST-00011,2025-03-16,2027-03-06,24,363.74,4364.88,PRO,active
SUB-000072,CUST-00041,2024-10-10,2027-09-25,36,218.57,2622.84,ENTERPRISE,active
SUB-000073,CUST-00019,2024-03-06,2027-02-19,36,713.71,8564.52,STARTER,active
SUB-000074,CUST-00050,2022-08-04,2024-07-24,24,65.6,787.2,ENTERPRISE,expired
SUB-000075,CUST-00073,2022-07-21,2022-08-20,1,355.13,4261.56,PRO,expired
SUB-000076,CUST-00074,2024-02-14,2024-03-15,1,291.75,3501.0,PRO,expired
SUB-000077,CUST-00002,2023-06-15,2024-06-09,12,74.03,888.36,ENTERPRISE,expired
SUB-000078,CUST-00037,2024-02-25,2026-02-14,24,216.42,2597.04,STARTER,active
SUB-000079,CUST-00065,2022-01-02,2023-12-23,24,325.04,3900.48,PRO,expired
SUB-000080,CUST-00064,2023-02-27,2026-02-11,36,66.43,797.16,ENTERPRISE,active
SUB-000081,CUST-00079,2022-10-18,2022-11-17,1,204.01,2448.12,STARTER,expired
SUB-000082,CUST-00019,2024-12-29,2025-01-28,1,347.9,4174.8,PRO,expired
SUB-000083,CUST-00054,2022-03-25,2024-03-14,24,161.66,1939.92,ENTERPRISE,expired
SUB-000084,CUST-00031,2022-09-27,2025-09-11,36,523.71,6284.52,ENTERPRISE,expired
SUB-000085,CUST-00020,2023-05-30,2024-05-24,12,1300.67,15608.04,ENTERPRISE,expired
SUB-000086,CUST-00004,2023-08-04,2024-07-29,12,294.9,3538.8,STARTER,expired
SUB-000087,CUST-00057,2023-04-24,2026-04-08,36,72.49,869.88,PRO,active
SUB-000088,CUST-00055,2023-10-10,2024-10-04,12,194.48,2333.76,STARTER,expired
SUB-000089,CUST-00080,2022-02-08,2022-03-10,1,167.59,2011.08,ENTERPRISE,expired
SUB-000090,CUST-00052,2022-07-03,2023-06-28,12,369.97,4439.64,STARTER,expired
SUB-000091,CUST-00018,2025-09-06,2027-08-27,24,782.86,9394.32,ENTERPRISE,active
SUB-000092,CUST-00055,2023-07-29,2023-08-28,1,73.01,876.12,STARTER,expired
SUB-000093,CUST-00065,2022-02-18,2025-02-02,36,744.68,8936.16,STARTER,expired
SUB-000094,CUST-00032,2023-03-30,2026-03-14,36,25.92,311.04,PRO,active
SUB-000095,CUST-00001,2023-05-03,2024-04-27,12,263.47,3161.64,PRO,expired
SUB-000096,CUST-00017,2023-08-03,2025-07-23,24,255.09,3061.08,PRO,expired
SUB-000097,CUST-00058,2023-10-25,2023-11-24,1,465.93,5591.16,ENTERPRISE,expired
SUB-000098,CUST-00044,2025-03-20,2026-03-15,12,166.98,2003.76,PRO,active
SUB-000099,CUST-00063,2023-02-14,2023-03-16,1,267.78,3213.36,ENTERPRISE,expired
SUB-000100,CUST-00004,2023-02-23,2023-03-25,1,304.24,3650.88,STARTER,expired
SUB-000101,CUST-00010,2024-01-14,2026-12-29,36,301.13,3613.56,ENTERPRISE,active
SUB-000102,CUST-00015,2022-08-14,2024-08-03,24,541.64,6499.68,ENTERPRISE,expired
SUB-000103,CUST-00049,2022-08-29,2022-09-28,1,468.37,5620.44,PRO,expired
SUB-000104,CUST-00001,2024-03-12,2024-04-11,1,59.84,718.08,ENTERPRISE,expired
SUB-000105,CUST-00025,2022-01-25,2025-01-09,36,552.98,6635.76,STARTER,expired
SUB-000106,CUST-00067,2024-12-28,2025-12-23,12,91.68,1100.16,ENTERPRISE,expired
SUB-000107,CUST-00011,2022-01-07,2023-12-28,24,86.44,1037.28,PRO,expired
SUB-000108,CUST-00034,2024-06-21,2025-06-16,12,41.25,495.0,ENTERPRISE,expired
SUB-000109,CUST-00076,2023-05-13,2024-05-07,12,235.68,2828.16,PRO,expired
SUB-000110,CUST-00077,2022-06-26,2024-06-15,24,1178.47,14141.64,STARTER,expired
SUB-000111,CUST-00048,2023-03-31,2025-03-20,24,956.13,11473.56,PRO,expired
SUB-000112,CUST-00022,2024-01-27,2025-01-21,12,787.85,9454.2,PRO,expired
SUB-000113,CUST-00042,2023-03-05,2024-02-28,12,64.51,774.12,STARTER,expired
SUB-000114,CUST-00057,2024-12-16,2025-01-15,1,35.5,426.0,ENTERPRISE,expired
SUB-000115,CUST-00035,2022-06-23,2025-06-07,36,403.36,4840.32,PRO,expired
SUB-000116,CUST-00057,2024-08-29,2025-08-24,12,67.99,815.88,PRO,expired
SUB-000117,CUST-00076,2025-08-18,2026-08-13,12,255.95,3071.4,ENTERPRISE,active
SUB-000118,CUST-00016,2023-07-24,2026-07-08,36,2673.82,32085.84,PRO,active
SUB-000119,CUST-00041,2022-03-20,2025-03-04,36,288.42,3461.04,STARTER,expired
SUB-000120,CUST-00014,2022-08-26,2025-08-10,36,448.0,5376.0,PRO,expired
SUB-000121,CUST-00040,2023-01-05,2023-12-31,12,158.04,1896.48,STARTER,expired
SUB-000122,CUST-00078,2025-10-09,2026-10-04,12,102.67,1232.04,STARTER,active
SUB-000123,CUST-00078,2023-05-16,2025-05-05,24,141.87,1702.44,PRO,expired
SUB-000124,CUST-00011,2023-07-04,2024-06-28,12,301.1,3613.2,PRO,expired
SUB-000125,CUST-00019,2023-08-31,2026-08-15,36,930.38,11164.56,ENTERPRISE,active
SUB-000126,CUST-00080,2023-05-17,2024-05-11,12,95.93,1151.16,STARTER,expired
SUB-000127,CUST-00069,2025-08-08,2028-07-23,36,86.26,1035.12,PRO,active
SUB-000128,CUST-00041,2025-02-13,2025-03-15,1,85.15,1021.8,STARTER,expired
SUB-000129,CUST-00063,2022-12-29,2024-12-18,24,97.74,1172.88,ENTERPRISE,expired
SUB-000130,CUST-00077,2025-02-16,2026-02-11,12,691.47,8297.64,PRO,active
SUB-000131,CUST-00002,2024-02-28,2026-02-17,24,51.2,614.4,STARTER,active
SUB-000132,CUST-00022,2024-12-24,2025-01-23,1,255.31,3063.72,ENTERPRISE,expired
SUB-000133,CUST-00060,2023-10-06,2024-09-30,12,1137.75,13653.0,PRO,expired
SUB-000134,CUST-00064,2023-12-12,2024-12-06,12,769.34,9232.08,PRO,expired
SUB-000135,CUST-00074,2022-08-08,2022-09-07,1,483.0,5796.0,PRO,expired
SUB-000136,CUST-00050,2023-01-20,2025-01-09,24,494.69,5936.28,PRO,expired
SUB-000137,CUST-00045,2025-12-27,2026-01-26,1,32.72,392.64,STARTER,active
SUB-000138,CUST-00023,2025-04-30,2025-05-30,1,168.92,2027.04,ENTERPRISE,expired
SUB-000139,CUST-00070,2022-07-19,2022-08-18,1,28.84,346.08,STARTER,expired
SUB-000140,CUST-00035,2023-09-24,2025-09-13,24,172.41,2068.92,ENTERPRISE,expired
SUB-000141,CUST-00027,2024-09-23,2024-10-23,1,1203.16,14437.92,STARTER,expired
SUB-000142,CUST-00039,2023-04-24,2024-04-18,12,286.68,3440.16,PRO,expired
SUB-000143,CUST-00023,2023-05-04,2025-04-23,24,361.3,4335.6,STARTER,expired
SUB-000144,CUST-00059,2023-10-26,2024-10-20,12,161.12,1933.44,PRO,expired
SUB-000145,CUST-00025,2022-06-04,2022-07-04,1,397.86,4774.32,ENTERPRISE,expired
SUB-000146,CUST-00074,2023-12-03,2025-11-22,24,166.95,2003.4,PRO,expired
SUB-000147,CUST-00016,2022-03-01,2024-02-19,24,342.48,4109.76,STARTER,expired
SUB-000148,CUST-00055,2024-01-30,2024-02-29,1,1232.66,14791.92,ENTERPRISE,expired
SUB-000149,CUST-00048,2022-07-09,2022-08-08,1,158.1,1897.2,STARTER,expired
SUB-000150,CUST-00010,2024-05-10,2025-05-05,12,3082.44,36989.28,ENTERPRISE,expired
SUB-000151,CUST-00077,2022-03-04,2022-04-03,1,175.58,2106.96,ENTERPRISE,expired
SUB-000152,CUST-00010,2022-08-16,2023-08-11,12,306.27,3675.24,ENTERPRISE,expired
SUB-000153,CUST-00069,2025-10-31,2026-10-26,12,1215.38,14584.56,PRO,active
SUB-000154,CUST-00080,2024-11-09,2024-12-09,1,1078.27,12939.24,STARTER,expired
SUB-000155,CUST-00023,2022-02-09,2025-01-24,36,301.86,3622.32,PRO,expired
SUB-000156,CUST-00055,2023-07-05,2025-06-24,24,249.91,2998.92,STARTER,expired
SUB-000157,CUST-00023,2025-11-06,2027-10-27,24,1038.7,12464.4,ENTERPRISE,active
SUB-000158,CUST-00019,2022-03-23,2025-03-07,36,83.17,998.04,PRO,expired
SUB-000159,CUST-00042,2022-06-14,2025-05-29,36,200.61,2407.32,PRO,expired
SUB-000160,CUST-00055,2024-10-13,2025-10-08,12,147.51,1770.12,ENTERPRISE,expired
